Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Instructor
ACCTG,230,Introduction to Financial Accounting,01,11115,3,ARRGT,ARR ARR,Nori Pearson
ACCTG,230,Introduction to Financial Accounting,02,11471,3,ARRGT,ARR ARR,Nori Pearson
ACCTG,231,Introduction to Managerial Accounting,01,11116,3,ARRGT,ARR ARR,Brandon Holbrook
ACCTG,231,Introduction to Managerial Accounting,02,11468,3,ARRGT,ARR ARR,Brandon Holbrook
ACCTG,330,Intermediate Accounting I,01,11117,3,ARRGT,ARR ARR,Jason Porter
ACCTG,330,Intermediate Accounting I,02,11379,3,ARRGT,ARR ARR,Jason Porter
ACCTG,338,Cost Accounting,01,11564,3,ARRGT,ARR ARR,Beau Barnes
ACCTG,338,Cost Accounting,02,11573,3,ARRGT,ARR ARR,Beau Barnes
ACCTG,439,[M] Auditing,01,11565,3,ARRGT,ARR ARR,Mary Harris
ACCTG,439,[M] Auditing,02,11574,3,ARRGT,ARR ARR,Mary Harris
ACCTG,439,[M] Auditing,03,11575,3,ARRGT,ARR ARR,Mary Harris
ACCTG,550,Introduction to Financial and Managerial Accounting,01,11351,3,ARRGT,ARR ARR,Bernard Wong-On-Wing
ACCTG,550,Introduction to Financial and Managerial Accounting,02,11352,3,ARRGT,ARR ARR,""
ACCTG,550,Introduction to Financial and Managerial Accounting,03,11353,3,ARRGT,ARR ARR,Bernard Wong-On-Wing
ACCTG,550,Introduction to Financial and Managerial Accounting,04,11354,3,ARRGT,ARR ARR,Bernard Wong-On-Wing
AFS,501,Current Research in Organic and Sustainable Agriculture,01,11004,3,ARRGT,ARR ARR,Lynne Carpenter-Boggs
AGRI,587,Research and Extension Communications in Agriculture,01,11025,3,ARRGT,ARR ARR,Catherine Perillo
AGRI,700,"Master's Research, Thesis, and/or Examination",01,11026,V,ARRGT,ARR ARR,(multiple)
AGRI,702,"Master's Special Problems, Directed Study, and/or Examination",01,11027,V,ARRGT,ARR ARR,(multiple)
AIS,320,[DIVR] Native Peoples of North America,01,13996,3,ARRGT,ARR ARR,John Mcnassar
AIS,331,[SSCI] Archaeology of the Americas,01,14001,3,ARRGT,ARR ARR,John Mcnassar
AMER_ST,475,[DIVR] Digital Diversity,01,11488,3,ARRGT,ARR ARR,Rosamond Thalken
ANTH,203,[DIVR] Global Cultural Diversity,01,11782,3,ARRGT,ARR ARR,Marsha Quinlan
ANTH,268,"[BSCI] Sex, Evolution, and Human Nature",01,11055,3,ARRGT,ARR ARR,Michael Gaffney
ANTH,268,"[BSCI] Sex, Evolution, and Human Nature",02,11766,3,ARRGT,ARR ARR,Caroline Smith
ANTH,302,[SSCI] Childhood and Culture,01,11047,3,ARRGT,ARR ARR,Cynthia Heckelsmiller
ANTH,316,[DIVR] Gender in Cross Cultural Perspective,01,11048,3,ARRGT,ARR ARR,Bonnie Hewlett
ANTH,320,[DIVR] Native Peoples of North America,01,11300,3,ARRGT,ARR ARR,John Mcnassar
ANTH,331,[SSCI] Archaeology of the Americas,01,11783,3,ARRGT,ARR ARR,John Mcnassar
ANTH,331,[SSCI] Archaeology of the Americas,02,11858,3,ARRGT,ARR ARR,John Mcnassar
ANTH,350,"[DIVR] Speech, Thought, and Culture",01,11050,3,ARRGT,ARR ARR,Chancy Anderson
