Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Instructor
ACCTG,231,Introduction to Managerial Accounting,01,06473,3,"M,W,F8.10-9",TODD 420,Susan Gill
ACCTG,231,Introduction to Managerial Accounting,02,06474,3,"M,W,F10.10-11",TODD 334,Susan Gill
ACCTG,231,Introduction to Managerial Accounting,03,09916,3,"M,W,F14.10-15",TODD 420,Chase Potter
ACCTG,231,Introduction to Managerial Accounting,04,13444,3,"M,W,F11.10-12",WLSH 13,Chase Potter
ACCTG,330,Intermediate Accounting I,01,06475,3,"TU,TH9.10-10.25",TODD 204,Jacob Jaggi
ACCTG,330,Intermediate Accounting I,02,06476,3,"TU,TH10.35-11.50",TODD 230,Jacob Jaggi
ACCTG,330,Intermediate Accounting I,03,08621,3,"TU,TH14.55-16.10",TODD 204,Jason Porter
ACCTG,331,Intermediate Accounting II,02,09260,3,"TU,TH12.05-13.20",TODD 230,Jason Porter
ACCTG,335,Taxation of Business Entities and Individuals,01,06478,3,"TU,TH9.10-10.25",TODD 430,Richard Toolson
ACCTG,338,Cost Accounting,01,06480,3,"TU,TH12.05-13.20",TODD 204,Beau Barnes
ACCTG,433,[M] Accounting Systems and Auditing,01,06482,3,"M,W,F13.10-14",TODD 334,Xinghua Gao
ACCTG,435,Individual Income Taxes,01,09577,3,"M,W,F9.10-10",TODD 204,Richard Toolson
ACCTG,498,Accounting Internship,01,06485,V,ARRGT,ARR ARR,Susan Gill
ACCTG,499,Special Problems,01,06486,V,ARRGT,ARR ARR,""
ACCTG,596,Doctoral Topics,01,06488,3,ARRGT,ARR ARR,Bernard Wong-On-Wing
ACCTG,600,Special Projects or Independent Study,01,06489,V,ARRGT,ARR ARR,""
ACCTG,800,"Doctoral Research, Dissertation, and/or Examination",01,06491,V,ARRGT,ARR ARR,Bernard Wong-On-Wing
AERO,101,Heritage and Values I,01,05719,1,TU14.55-15.45,CLEV 30,Brian Balazs
AERO,101,Heritage and Values I,02,07994,1,TH12.05-12.55,SPRK 227,Brian Balazs
AERO,103,Leadership Laboratory I,01,05720,2,TH17-19,CUE 203,Paul Hyde
AERO,201,Team and Leadership Fundamentals I,01,05721,1,TU9.10-10,KRUG 417,Brian Balazs
AERO,201,Team and Leadership Fundamentals I,02,05722,1,TH14.55-15.45,KRUG 417,Brian Balazs
AERO,203,Leadership Laboratory II,01,05723,2,TH17-19,TODD 116,""
AERO,311,Leading People and Effective Communication I,01,05724,3,"TU,TH10.35-11.50",KRUG 417,Spencer Sweat
