Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room
BIOMED,550,Biochemistry for the Health Sciences,01,15034,3,"M,W8.10-9.25",AMS ARR
COMHLTH,571,Communicating Health in Practice,01,14821,3,ARRGT,ARR ARR
COMHLTH,572,Communicating Health to Specialized Populations,01,15171,3,ARRGT,ARR ARR
ED_AD,501,Philosophy of Education,01,14687,3,W17.45-20.30,SAC 341
ED_AD,507,Social Foundations of Education,01,14688,3,ARRGT,ARR ARR
ED_AD,510,Improvement of Instruction,01,16043,3,TH17.45-20.30,AMS SPK
ED_AD,512,Leadership Studies for Social Justice,01,14689,3,TU17.45-20.30,SAC 341
ED_AD,521,Topics in Education,02,14691,V,ARRGT,ARR ARR
ED_AD,521,Topics in Education,03,14692,V,ARRGT,ARR ARR
ED_AD,580,School Organization and Administration,01,14693,3,TU17.45-20.30,SAC 347
ED_AD,581,Politics in Education,01,14695,3,ARRGT,ARR ARR
ED_AD,587,Seminar in School Administration,01,14696,V,ARRGT,ARR ARR
ED_AD,589,Leadership Development Seminar,01,14443,3,W17.45-18.45,SAC 347
ED_AD,590,Internship,01,14730,V,ARRGT,ARR ARR
ED_AD,590,Internship,02,14731,V,ARRGT,ARR ARR
ED_AD,590,Internship,03,14732,V,ARRGT,ARR ARR
ED_AD,600,Special Projects or Independent Study,01,14728,V,ARRGT,ARR ARR
ED_AD,600,Special Projects or Independent Study,02,14729,V,ARRGT,ARR ARR
ED_AD,702,"Master's Special Problems, Directed Study, and/or Examination",01,14727,V,ARRGT,ARR ARR
ED_MTHSC,598,Research Seminar in Mathematics and Science Education,01,14736,1,W16.30-17.30,SAC 205
ED_MTHSC,800,"Doctoral Research, Dissertation, and/or Examination",01,15659,V,ARRGT,ARR ARR
ED_PSYCH,505,Research Methods I,01,14733,3,M17.45-20.30,SAC 347
ED_PSYCH,508,Educational Statistics,01,14735,3,TU17.45-20.30,SAC 343
ED_PSYCH,521,Topics in Educational Psychology,01,14177,V,W17.45-20.30,SAC 205
ED_PSYCH,571,Theoretical Foundations and Fundamental Issues in Program Evaluation,01,14762,3,W9.10-12,SAC 205
ED_RES,562,"Epistemology, Inquiry, and Representation",01,14737,3,TU17.45-20.30,SAC 205
ED_RES,563,Principles of Research,01,14738,3,M17.45-20.30,SAC 341
ED_RES,564,Qualitative Research,01,14739,3,TU16.10-19,SAC 41
ED_RES,565,Quantitative Research,01,14740,3,TU17.45-20.30,SAC 43
ED_RES,571,Doctoral Dissertation Preparation,01,14741,3,M17.45-20.30,SAC 343
ED_RES,571,Doctoral Dissertation Preparation,02,14742,3,W17.45-20.30,SAC 343
H_D,558,Parent-Child Relationships,01,12092,3,W15.10-17.40,SAC 345
HISTORY,305,[ROOT] Roots of Contemporary Issues For Transfer Students,01,14215,3,ARRGT,ARR ARR
HISTORY,308,"[DIVR] North American Indian History, Precontact to Present",01,14845,3,ARRGT,ARR ARR
LLT,586,"Seminar in Language, Literacy, and Technology",01,14540,1,TU12.10-13,AMS ARR
MBIOS,578,Bioinformatics,01,14866,3,ARRGT,ARR ARR
MBIOS,578,Bioinformatics,01 Lab,14867,0,ARRGT,ARR ARR
MED_CLIN,522,Longitudinal Integrated Clerkship II,01,15564,14,ARRGT,ARR ARR
MED_CLIN,531,Sub Internship in Family Medicine,01,15038,4,ARRGT,ARR ARR
MED_CLIN,531,Sub Internship in Family Medicine,02,15039,4,ARRGT,ARR ARR
MED_CLIN,531,Sub Internship in Family Medicine,03,15040,4,ARRGT,ARR ARR
MED_CLIN,532,Sub Internship in Inpatient Internal Medicine,01,15050,4,ARRGT,ARR ARR
MED_CLIN,532,Sub Internship in Inpatient Internal Medicine,02,15051,4,ARRGT,ARR ARR
MED_CLIN,532,Sub Internship in Inpatient Internal Medicine,03,15052,4,ARRGT,ARR ARR
MED_CLIN,533,Sub Internship in General Surgery,01,15111,4,ARRGT,ARR ARR
MED_CLIN,533,Sub Internship in General Surgery,02,15112,4,ARRGT,ARR ARR
MED_CLIN,533,Sub Internship in General Surgery,03,15113,4,ARRGT,ARR ARR
MED_CLIN,534,Sub Internship in Pediatrics,01,15123,4,ARRGT,ARR ARR
MED_CLIN,534,Sub Internship in Pediatrics,02,15124,4,ARRGT,ARR ARR
