Prefix,Course Title,Section,Class Number,Days & Times,Bldg & Room
ACCTG,230 Introduction to Financial Accounting,01,01368,"M,W,F13.10-14",TFLO 231
ACCTG,231 Introduction to Managerial Accounting,01,01318,"TU,TH13.30-14.45",TFLO 231
ACCTG,338 Cost Accounting,01,01319,"TU,TH16.20-17.35",TFLO 231
AMER_ST,475 [DIVR] Digital Diversity,02,13994,ARRGT,ARR ARR
ANTH,101 [DIVR] Introduction to Anthropology,01,01387,"M,W,F11.10-12",TCIC 210
ANTH,260 [BSCI] Introduction to Biological Anthropology,01,01586,"M,W,F14.10-15",TCIC 217
ANTH,260 [BSCI] Introduction to Biological Anthropology,01 Lab,01587,TU9.10-12,TEST 113
ANTH,305 [SSCI] Anthropology of Epidemic Disease and Bioterrorism,01,13128,"TU,TH13.30-14.45",TFLO 243
ANTH,320 [DIVR] Native Peoples of North America,01,01771,ARRGT,ARR ARR
ANTH,404 [CAPS] The Self in Culture,01,01676,ARRGT,ARR ARR
ANTH,498 Anthropology Internship,01,01320,ARRGT,ARR ARR
ASIA,272 [DIVR] Introduction to Middle Eastern History,01,02280,"TU,TH9.10-10.25",AMS TRI
B_A,100 Introduction to Business,01,14673,ARRGT,ARR ARR
B_A,102 Exploring Careers in Business,01,14680,ARRGT,ARR ARR
B_A,"211 Ethics, Teams, and Innovation",01,13082,"TU,TH10.35-11.50",TFLO 231
B_A,"212 Spreadsheets, Data Visualization, and Decision Analysis",01,14685,ARRGT,ARR ARR
B_LAW,210 Law and the Legal Environment of Business,01,01321,"M,W19.15-20.30",TFLO 131
BIO_ENG,475 Introduction to Biochemical Engineering,01,15631,"M,W,F10.10-11",AMS TRI
BIOLOGY,102 [BSCI] General Biology,01,01428,"M,W,F12.10-13",TCIC 216
BIOLOGY,102 [BSCI] General Biology,01 Lab,01429,TU11.20-14.10,TBSL 171
BIOLOGY,102 [BSCI] General Biology,02 Lab,01551,TU14.40-17.30,TBSL 171
