Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Instructor
ACCTG,"","","","","","","",""
ACCTG,230,Introduction to Financial Accounting,"","","","","",""
ACCTG,230,Introduction to Financial Accounting,01,01368,3,"M,W,F13.10-14",TFLO 231,Kraig Jones
ACCTG,230,Introduction to Financial Accounting,"","","","","",""
ACCTG,231,Introduction to Managerial Accounting,"","","","","",""
ACCTG,231,Introduction to Managerial Accounting,01,01318,3,"TU,TH13.30-14.45",TFLO 231,Kraig Jones
ACCTG,231,Introduction to Managerial Accounting,"","","","","",""
ACCTG,338,Cost Accounting,"","","","","",""
ACCTG,338,Cost Accounting,01,01319,3,"TU,TH16.20-17.35",TFLO 231,Kraig Jones
ACCTG,338,Cost Accounting,"","","","","",""
AMER_ST,"","","","","","","",""
AMER_ST,475,[DIVR] Digital Diversity,"","","","","",""
AMER_ST,475,[DIVR] Digital Diversity,02,13994,3,ARRGT,ARR ARR,Rosamond Thalken
AMER_ST,475,[DIVR] Digital Diversity,"","","","","",""
AMER_ST,475,[DIVR] Digital Diversity,"","","","","",""
ANTH,"","","","","","","",""
ANTH,101,[DIVR] Introduction to Anthropology,"","","","","",""
ANTH,101,[DIVR] Introduction to Anthropology,01,01387,3,"M,W,F11.10-12",TCIC 210,Mark Mansperger
ANTH,101,[DIVR] Introduction to Anthropology,"","","","","",""
ANTH,260,[BSCI] Introduction to Biological Anthropology,"","","","","",""
ANTH,260,[BSCI] Introduction to Biological Anthropology,01,01586,4,"M,W,F14.10-15",TCIC 217,Mark Mansperger
ANTH,260,[BSCI] Introduction to Biological Anthropology,"","","","","",""
ANTH,260,[BSCI] Introduction to Biological Anthropology,01 Lab,01587,0,TU9.10-12,TEST 113,Mark Mansperger
ANTH,260,[BSCI] Introduction to Biological Anthropology,"","","","","",""
ANTH,305,[SSCI] Anthropology of Epidemic Disease and Bioterrorism,"","","","","",""
ANTH,305,[SSCI] Anthropology of Epidemic Disease and Bioterrorism,01,13128,3,"TU,TH13.30-14.45",TFLO 243,Mark Mansperger
ANTH,305,[SSCI] Anthropology of Epidemic Disease and Bioterrorism,"","","","","",""
ANTH,320,[DIVR] Native Peoples of North America,"","","","","",""
ANTH,320,[DIVR] Native Peoples of North America,01,01771,3,ARRGT,ARR ARR,John Mcnassar
ANTH,320,[DIVR] Native Peoples of North America,"","","","","",""
ANTH,320,[DIVR] Native Peoples of North America,"","","","","",""
ANTH,404,[CAPS] The Self in Culture,"","","","","",""
ANTH,404,[CAPS] The Self in Culture,01,01676,3,ARRGT,ARR ARR,Jeannette-Marie Mageo
ANTH,404,[CAPS] The Self in Culture,"","","","","",""
ANTH,404,[CAPS] The Self in Culture,"","","","","",""
ANTH,498,Anthropology Internship,"","","","","",""
ANTH,498,Anthropology Internship,01,01320,V,ARRGT,ARR ARR,Mark Mansperger
ASIA,"","","","","","","",""
ASIA,272,[DIVR] Introduction to Middle Eastern History,"","","","","",""
ASIA,272,[DIVR] Introduction to Middle Eastern History,01,02280,3,"TU,TH9.10-10.25",WEB ARR,Aaron Whelchel
ASIA,272,[DIVR] Introduction to Middle Eastern History,"","","","","",""
B_A,"","","","","","","",""
B_A,100,Introduction to Business,"","","","","",""
B_A,100,Introduction to Business,01,14673,3,ARRGT,ARR ARR,Christopher Cooney
B_A,100,Introduction to Business,"","","","","",""
B_A,100,Introduction to Business,"","","","","",""
B_A,102,Exploring Careers in Business,"","","","","",""
B_A,102,Exploring Careers in Business,01,14680,1,ARRGT,ARR ARR,Suzanne Billington
B_A,102,Exploring Careers in Business,"","","","","",""
B_A,102,Exploring Careers in Business,"","","","","",""
B_A,211,"Ethics, Teams, and Innovation","","","","","",""
B_A,211,"Ethics, Teams, and Innovation",01,13082,3,"TU,TH10.35-11.50",TFLO 252,Jesus Bravo
B_A,211,"Ethics, Teams, and Innovation","","","","","",""
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis","","","","","",""
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis",01,14685,3,ARRGT,ARR ARR,Yijun He
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis","","","","","",""
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis","","","","","",""
B_LAW,"","","","","","","",""
B_LAW,210,Law and the Legal Environment of Business,"","","","","",""
B_LAW,210,Law and the Legal Environment of Business,01,01321,3,"M,W19.15-20.30",TFLO 131,Galt Pettett
BIO_ENG,"","","","","","","",""
BIO_ENG,475,Introduction to Biochemical Engineering,"","","","","",""
BIO_ENG,475,Introduction to Biochemical Engineering,01,15631,3,"M,W,F10.10-11",WEB ARR,Xiao Zhang
BIO_ENG,475,Introduction to Biochemical Engineering,"","","","","",""
BIOLOGY,"","","","","","","",""
BIOLOGY,102,[BSCI] General Biology,"","","","","",""
BIOLOGY,102,[BSCI] General Biology,01,01428,4,"M,W,F12.10-13",WEB ARR,Yimo Liu
BIOLOGY,102,[BSCI] General Biology,"","","","","",""
BIOLOGY,102,[BSCI] General Biology,01 Lab,01429,0,TU11.20-14.10,WEB ARR,Yimo Liu
BIOLOGY,102,[BSCI] General Biology,"","","","","",""
BIOLOGY,102,[BSCI] General Biology,02 Lab,01551,0,TU14.40-17.30,WEB ARR,Yimo Liu
BIOLOGY,102,[BSCI] General Biology,"","","","","",""
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,"","","","","",""
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,01,01522,4,"M,W,F15.10-16",TCIC 216,Lori Nelson
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,01 Lab,01535,0,TH8-10.50,WEB ARR,Elly Sweet
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,"","","","","",""
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,02 Lab,01536,0,TH11.20-14.10,WEB ARR,Elly Sweet
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,"","","","","",""
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,03 Lab,01552,0,TH14.40-17.30,WEB ARR,Elly Sweet
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,"","","","","",""
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,04 Lab,01714,0,TH18-20.50,WEB ARR,Elly Sweet
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,"","","","","",""
BIOLOGY,140,[BSCI] Introduction to Nutritional Science,"","","","","",""
BIOLOGY,140,[BSCI] Introduction to Nutritional Science,01,01481,3,"M,W7.45-9",TCIC 216,Kathleen Mcateer
BIOLOGY,301,General Genetics,"","","","","",""
BIOLOGY,301,General Genetics,01,01385,4,"M,W,F12.10-13",TFLO 252,Elly Sweet
BIOLOGY,301,General Genetics,"","","",M11.10-12,TFLO 252,""
BIOLOGY,301,General Genetics,03,13049,4,"M,W,F12.10-13",TFLO 252,Elly Sweet
BIOLOGY,301,General Genetics,"","","",M13.10-14,TFLO 230,""
BIOLOGY,352,Cells,"","","","","",""
BIOLOGY,352,Cells,01,02084,3,"TU,TH10.35-11.50",WEB ARR,Martin Klotz
BIOLOGY,352,Cells,"","","","","",""
BIOLOGY,354,Human Anatomy for Health Occupations,"","","","","",""
BIOLOGY,354,Human Anatomy for Health Occupations,01,01443,4,"M,W,F13.10-14",WEB ARR,Kersten Bergstrom
BIOLOGY,354,Human Anatomy for Health Occupations,"","","","","",""
BIOLOGY,354,Human Anatomy for Health Occupations,01 Lab,01444,0,M15.10-18,WEB ARR,Kersten Bergstrom
BIOLOGY,354,Human Anatomy for Health Occupations,"","","","","",""
BIOLOGY,354,Human Anatomy for Health Occupations,02 Lab,01445,0,W14.40-17.30,WEB ARR,Kersten Bergstrom
BIOLOGY,354,Human Anatomy for Health Occupations,"","","","","",""
BIOLOGY,354,Human Anatomy for Health Occupations,03 Lab,01503,0,W18-20.50,WEB ARR,Kersten Bergstrom
BIOLOGY,354,Human Anatomy for Health Occupations,"","","","","",""
BIOLOGY,372,[M] General Ecology,"","","","","",""
BIOLOGY,372,[M] General Ecology,01,01394,4,"TU,TH12.05-13.20",TFLO 252,Lori Nelson
BIOLOGY,372,[M] General Ecology,01 Lab,01395,0,F8-10.50,WEB ARR,Lori Nelson
BIOLOGY,372,[M] General Ecology,"","","","","",""
BIOLOGY,372,[M] General Ecology,04 Lab,02303,0,W8-10.50,WEB ARR,Lori Nelson
BIOLOGY,372,[M] General Ecology,"","","","","",""
BIOLOGY,401,[CAPS] Plants and People,"","","","","",""
BIOLOGY,401,[CAPS] Plants and People,01,01523,3,"TU,TH9.10-10.25",WEB ARR,Tanya Cheeke
BIOLOGY,401,[CAPS] Plants and People,"","","","","",""
BIOLOGY,420,Plant Physiology,"","","","","",""
BIOLOGY,420,Plant Physiology,01,01483,3,"TU,TH12.05-13.20",WEB ARR,Allan Felsot
BIOLOGY,420,Plant Physiology,"","","","","",""
BIOLOGY,420,Plant Physiology,02,02384,3,"TU,TH12.05-13.20",WEB ARR,Allan Felsot
BIOLOGY,420,Plant Physiology,"","","","","",""
BIOLOGY,420,Plant Physiology,"","","","","",""
BIOLOGY,430,Methods of Teaching Secondary Science I,"","","","","",""
BIOLOGY,430,Methods of Teaching Secondary Science I,01,15736,3,TH17.15-20,WEB ARR,Jonah Firestone
BIOLOGY,430,Methods of Teaching Secondary Science I,"","","","","",""
BIOLOGY,489,[CAPS] [M] Synthesis and Communication of Independent Research,"","","","","",""
BIOLOGY,489,[CAPS] [M] Synthesis and Communication of Independent Research,01,16447,3,ARRGT,ARR ARR,Erica Crespi
BIOLOGY,489,[CAPS] [M] Synthesis and Communication of Independent Research,"","","","","",""
BIOLOGY,495,"Internship in Biology, Botany, and Zoology","","","","","",""
BIOLOGY,495,"Internship in Biology, Botany, and Zoology",01,02296,V,ARRGT,ARR ARR,Lori Nelson
BIOLOGY,499,Special Problems,"","","","","",""
BIOLOGY,499,Special Problems,01,01376,V,ARRGT,ARR ARR,(multiple)
BIOLOGY,568,Conservation Ecology,"","","","","",""
BIOLOGY,568,Conservation Ecology,01,13454,3,"TU,TH10.35-11.50",WEB ARR,Cheryl Schultz
BIOLOGY,568,Conservation Ecology,"","","","","",""
BIOLOGY,585,Professional Development and Training for College and University Teaching,"","","","","",""
BIOLOGY,585,Professional Development and Training for College and University Teaching,01,01576,2,ARRGT,ARR ARR,Lisa Carloye
BIOLOGY,585,Professional Development and Training for College and University Teaching,"","","","","",""
BIOLOGY,589,Advanced Topics in Biology,"","","","","",""
BIOLOGY,589,Advanced Topics in Biology,01,01580,1,W12.10-13,WEB ARR,Tanya Cheeke
BIOLOGY,589,Advanced Topics in Biology,"","","","","",""
BIOLOGY,589,Advanced Topics in Biology,"","","","","",""
BIOLOGY,600,Special Projects or Independent Study,"","","","","",""
BIOLOGY,600,Special Projects or Independent Study,01,01570,V,ARRGT,ARR ARR,Allan Felsot
BIOLOGY,700,"Master's Research, Thesis, and/or Examination","","","","","",""
BIOLOGY,700,"Master's Research, Thesis, and/or Examination",01,01377,V,ARRGT,ARR ARR,(multiple)
BIOLOGY,702,"Master's Special Problems, Directed Study and/or Examination","","","","","",""
BIOLOGY,702,"Master's Special Problems, Directed Study and/or Examination",01,01513,V,ARRGT,ARR ARR,Allan Felsot
BIOLOGY,800,"Doctoral Research, Dissertation, and/or Examination","","","","","",""
BIOLOGY,800,"Doctoral Research, Dissertation, and/or Examination",01,01378,V,ARRGT,ARR ARR,(multiple)
BSYSE,"","","","","","","",""
BSYSE,530,Machine Vision for Biological Systems,"","","","","",""
BSYSE,530,Machine Vision for Biological Systems,01,01645,3,"W,F14.10-15.25",WEB ARR,Manoj Karkee
BSYSE,530,Machine Vision for Biological Systems,"","","","","",""
BSYSE,593,Renewable Energy Technologies,"","","","","",""
BSYSE,593,Renewable Energy Technologies,01,12007,3,W10.10-12.40,WEB ARR,Hanwu Lei
BSYSE,593,Renewable Energy Technologies,"","","","","",""
BSYSE,597,Biomass Biological Process Engineering,"","","","","",""
BSYSE,597,Biomass Biological Process Engineering,01,12004,3,M9.10-11.55,AMS TRI,Bin Yang
BSYSE,598,Graduate Seminar,"","","","","",""
BSYSE,598,Graduate Seminar,01,01226,1,TH16.10-17,TFLO 247,""
BSYSE,598,Graduate Seminar,"","","","","",""
BSYSE,700,"Master's Research, Thesis, and/or Examination","","","","","",""
BSYSE,700,"Master's Research, Thesis, and/or Examination",01,01234,V,ARRGT,ARR ARR,(multiple)
BSYSE,800,"Doctoral Research, Dissertation, and/or Examination","","","","","",""
BSYSE,800,"Doctoral Research, Dissertation, and/or Examination",01,01236,V,ARRGT,ARR ARR,(multiple)
CE,"","","","","","","",""
CE,211,Statics,"","","","","",""
CE,211,Statics,01,01509,3,"TU,TH17.45-19",WEB ARR,Md Hossain
CE,211,Statics,"","","","","",""
CE,302,Introduction to Surveying,"","","","","",""
CE,302,Introduction to Surveying,01,01275,2,M9.10-10,TFLO 239,Md Rubayet Mortuza
CE,302,Introduction to Surveying,01 Lab,01276,0,W9.10-12,TFLO 239,Md Rubayet Mortuza
CE,315,Fluid Mechanics,"","","","","",""
CE,315,Fluid Mechanics,01,01277,3,"M,W17.45-19",TBSL 101,Md Rubayet Mortuza
CE,317,[M] Geotechnical Engineering I,"","","","","",""
CE,317,[M] Geotechnical Engineering I,01,01278,4,"TU,TH12.05-13.20",TBSL 104,Md Rubayet Mortuza
CE,317,[M] Geotechnical Engineering I,01 Lab,01279,0,W12.10-15,TBSL 104,Md Rubayet Mortuza
CE,330,Introduction to Structural Engineering,"","","","","",""
CE,330,Introduction to Structural Engineering,01,01280,3,"TU,TH13.30-14.45",TBSL 104,Md Rubayet Mortuza
CE,341,Introduction to Environmental Engineering,"","","","","",""
CE,341,Introduction to Environmental Engineering,01,01281,3,"TU,TH7.45-9",WEB ARR,Mohiuddin Khan
CE,341,Introduction to Environmental Engineering,"","","","","",""
CE,405,Decision-Making for Sustainable and Resilient Civil Infrastructure,"","","","","",""
CE,405,Decision-Making for Sustainable and Resilient Civil Infrastructure,01,02070,3,"TU,TH17.45-19",WEB ARR,Mohiuddin Khan
CE,405,Decision-Making for Sustainable and Resilient Civil Infrastructure,"","","","","",""
CE,433,Reinforced Concrete Design,"","","","","",""
CE,433,Reinforced Concrete Design,01,01616,3,"TU,TH10.35-11.50",WEB ARR,Jahangir Morshed
CE,433,Reinforced Concrete Design,"","","","","",""
