Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Instructor
ACCTG,"","","","","","","",""
ACCTG,230,Introduction to Financial Accounting,"","","","","",""
ACCTG,230,Introduction to Financial Accounting,01,02395,3,"M,W10.35-11.50",VUB 121,Leslie Clute
ACCTG,230,Introduction to Financial Accounting,"","","","","",""
ACCTG,230,Introduction to Financial Accounting,02,02424,3,"M,W12-13.15",VUB 121,Leslie Clute
ACCTG,230,Introduction to Financial Accounting,"","","","","",""
ACCTG,231,Introduction to Managerial Accounting,"","","","","",""
ACCTG,231,Introduction to Managerial Accounting,01,02411,3,"M,W17.45-19",VUB 121,Leslie Clute
ACCTG,231,Introduction to Managerial Accounting,"","","","","",""
ACCTG,330,Intermediate Accounting I,"","","","","",""
ACCTG,330,Intermediate Accounting I,01,02412,3,"TU,TH14.50-16.05","",Claire Latham
ACCTG,330,Intermediate Accounting I,"","","","","",""
ACCTG,330,Intermediate Accounting I,02,13710,3,"TU,TH14.50-16.05",VUB 225,Gibran Zogbi
ACCTG,330,Intermediate Accounting I,"","","","","",""
ACCTG,335,Taxation of Business Entities and Individuals,"","","","","",""
ACCTG,335,Taxation of Business Entities and Individuals,01,02397,3,"TU,TH16.15-17.30",VUB 125,Gibran Zogbi
ACCTG,335,Taxation of Business Entities and Individuals,"","","","","",""
ACCTG,433,[M] Accounting Systems and Auditing,"","","","","",""
ACCTG,433,[M] Accounting Systems and Auditing,01,02398,3,TH18-20.45,"",Claire Latham
ACCTG,433,[M] Accounting Systems and Auditing,"","","","","",""
ACCTG,438,[M] Advanced Cost Accounting and Management,"","","","","",""
ACCTG,438,[M] Advanced Cost Accounting and Management,01,02437,3,M18-20.45,"",Li Xu
ACCTG,438,[M] Advanced Cost Accounting and Management,"","","","","",""
ACCTG,498,Accounting Internship,"","","","","",""
ACCTG,498,Accounting Internship,01,02425,V,ARRGT,ARR ARR,Li Xu
ANTH,"","","","","","","",""
ANTH,101,[DIVR] Introduction to Anthropology,"","","","","",""
ANTH,101,[DIVR] Introduction to Anthropology,01,02517,3,"M,W9.10-10",WEB ARR,Nicole Hess
ANTH,101,[DIVR] Introduction to Anthropology,"","","","","",""
ANTH,130,[SSCI] Great Discoveries in Archaeology,"","","","","",""
ANTH,130,[SSCI] Great Discoveries in Archaeology,01,13178,3,ARRGT,ARR ARR,Jason Fancher
ANTH,130,[SSCI] Great Discoveries in Archaeology,"","","","","",""
ANTH,203,[DIVR] Global Cultural Diversity,"","","","","",""
ANTH,203,[DIVR] Global Cultural Diversity,01,02518,3,ARRGT,ARR ARR,Scott Calvert
ANTH,203,[DIVR] Global Cultural Diversity,"","","","","",""
ANTH,268,"[BSCI] Sex, Evolution, and Human Nature","","","","","",""
ANTH,268,"[BSCI] Sex, Evolution, and Human Nature",01,02520,3,"TU,TH12-13.15",WEB ARR,Edward Hagen
ANTH,268,"[BSCI] Sex, Evolution, and Human Nature","","","","","",""
ANTH,305,[SSCI] Anthropology of Epidemic Disease and Bioterrorism,"","","","","",""
ANTH,305,[SSCI] Anthropology of Epidemic Disease and Bioterrorism,01,02927,3,ARRGT,ARR ARR,Bonnie Hewlett
ANTH,305,[SSCI] Anthropology of Epidemic Disease and Bioterrorism,"","","","","",""
ANTH,307,[DIVR] Contemporary Cultures and Peoples of Africa,"","","","","",""
ANTH,307,[DIVR] Contemporary Cultures and Peoples of Africa,01,02847,3,ARRGT,ARR ARR,Bonnie Hewlett
ANTH,307,[DIVR] Contemporary Cultures and Peoples of Africa,"","","","","",""
ANTH,309,[SSCI] Cultural Ecology,"","","","","",""
ANTH,309,[SSCI] Cultural Ecology,01,13053,3,ARRGT,ARR ARR,Barry Hewlett
ANTH,309,[SSCI] Cultural Ecology,"","","","","",""
ANTH,316,[DIVR] Gender in Cross Cultural Perspective,"","","","","",""
ANTH,316,[DIVR] Gender in Cross Cultural Perspective,02,03134,3,ARRGT,ARR ARR,Bonnie Hewlett
ANTH,316,[DIVR] Gender in Cross Cultural Perspective,"","","","","",""
ANTH,316,[DIVR] Gender in Cross Cultural Perspective,"","","","","",""
ANTH,316,[DIVR] Gender in Cross Cultural Perspective,"","","","","",""
ANTH,334,Time and Culture in the Northwest,"","","","","",""
ANTH,334,Time and Culture in the Northwest,01,13054,3,"TU,TH10.35-11.50",WEB ARR,Colin Grier
ANTH,334,Time and Culture in the Northwest,"","","","","",""
ANTH,381,[BSCI] Primate Behavioral Ecology,"","","","","",""
ANTH,381,[BSCI] Primate Behavioral Ecology,01,02848,3,ARRGT,ARR ARR,Nicole Hess
ANTH,381,[BSCI] Primate Behavioral Ecology,"","","","","",""
ANTH,390,[M] History of Anthropological Thought,"","","","","",""
ANTH,390,[M] History of Anthropological Thought,01,03087,3,M11.10-14,VSCI 19,Clare Weber
ANTH,469,"Genes, Culture and Human Diversity","","","","","",""
ANTH,469,"Genes, Culture and Human Diversity",01,13055,3,"TU,TH14.50-16.05",WEB ARR,Edward Hagen
ANTH,469,"Genes, Culture and Human Diversity","","","","","",""
ANTH,510,Fundamentals of Cultural Anthropology,"","","","","",""
ANTH,510,Fundamentals of Cultural Anthropology,01,13604,3,F9.10-11.40,VMMC 204,Clare Weber
ANTH,521,Psychological Anthropology,"","","","","",""
ANTH,521,Psychological Anthropology,01,16836,3,W13.10-15.40,WEB ARR,Jeannette-Marie Mageo
ANTH,521,Psychological Anthropology,"","","","","",""
ANTH,537,Quantitative Methods in Anthropology,"","","","","",""
ANTH,537,Quantitative Methods in Anthropology,01,02902,4,TU9.10-11.50,WEB ARR,Andrew Duff
ANTH,537,Quantitative Methods in Anthropology,"","","","","",""
ANTH,537,Quantitative Methods in Anthropology,01 Lab,02903,0,TH9.10-11.50,WEB ARR,Andrew Duff
ANTH,546,Complexity in Small Scale Societies,"","","","","",""
ANTH,546,Complexity in Small Scale Societies,01,14919,3,M13.10-15.40,VECS 209,Colin Grier
ANTH,548,Hunters and Gatherers: Past and Present,"","","","","",""
ANTH,548,Hunters and Gatherers: Past and Present,01,15477,3,TH12.30-15,WEB ARR,Luke Premo
ANTH,548,Hunters and Gatherers: Past and Present,"","","","","",""
ANTH,800,"Doctoral Research, Dissertation, and/or Examination","","","","","",""
ANTH,800,"Doctoral Research, Dissertation, and/or Examination",01,02523,V,ARRGT,ARR ARR,(multiple)
ASTRONOM,"","","","","","","",""
ASTRONOM,135,[PSCI] Astronomy,"","","","","",""
ASTRONOM,135,[PSCI] Astronomy,01,02542,4,"M,W17.45-19",VUB 1,Jose Vazquez-Bello
ASTRONOM,135,[PSCI] Astronomy,01 Lab,02543,0,M19.15-21.05,VSCI 101,""
ASTRONOM,135,[PSCI] Astronomy,"","","","","",""
B_A,"","","","","","","",""
B_A,100,Introduction to Business,"","","","","",""
B_A,100,Introduction to Business,01,03106,3,"TU,TH10.35-11.50",VUB 1,Jennifer Sandstrom
B_A,100,Introduction to Business,"","","","","",""
B_A,102,Exploring Careers in Business,"","","","","",""
B_A,102,Exploring Careers in Business,01,12773,1,"W,F9.10-10.25",VMMC 16,Rachel Worthy
B_A,102,Exploring Careers in Business,"","","","","",""
B_A,102,Exploring Careers in Business,03,15456,1,"W,F9.10-10.25",VMMC 16,Rachel Worthy
B_A,102,Exploring Careers in Business,"","","","","",""
B_A,211,"Ethics, Teams, and Innovation","","","","","",""
B_A,211,"Ethics, Teams, and Innovation",01,12776,3,"M,W14.50-16.05",VDEN 110,Benjamin Warnick
B_A,211,"Ethics, Teams, and Innovation","","","","","",""
B_A,211,"Ethics, Teams, and Innovation",02,14683,3,ARRGT,ARR ARR,Jillian Saylors
B_A,211,"Ethics, Teams, and Innovation","","","","","",""
B_A,211,"Ethics, Teams, and Innovation","","","","","",""
B_A,211,"Ethics, Teams, and Innovation","","","","","",""
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis","","","","","",""
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis",01,12775,3,"TU,TH12-13.15","",Yijun He
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis","","","","","",""
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis",02,14686,3,ARRGT,ARR ARR,Yijun He
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis","","","","","",""
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis","","","","","",""
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis","","","","","",""
B_LAW,"","","","","","","",""
B_LAW,210,Law and the Legal Environment of Business,"","","","","",""
B_LAW,210,Law and the Legal Environment of Business,01,02399,3,"M,W16.15-17.30",VECS 105,Brandon Holbrook
BIOLOGY,"","","","","","","",""
BIOLOGY,101,[BSCI] Biology of Humans,"","","","","",""
BIOLOGY,101,[BSCI] Biology of Humans,01,02600,3,ARRGT,ARR ARR,William Cushwa
BIOLOGY,101,[BSCI] Biology of Humans,"","","","","",""
BIOLOGY,102,[BSCI] General Biology,"","","","","",""
BIOLOGY,102,[BSCI] General Biology,01,02662,4,"TU,TH12-13.15",WEB ARR,Kevin Turner
BIOLOGY,102,[BSCI] General Biology,"","","","","",""
BIOLOGY,102,[BSCI] General Biology,01 Lab,02663,0,TU7.45-10.25,WEB ARR,""
BIOLOGY,102,[BSCI] General Biology,"","","","","",""
BIOLOGY,102,[BSCI] General Biology,02 Lab,02664,0,TU13.25-16.05,WEB ARR,""
BIOLOGY,102,[BSCI] General Biology,"","","","","",""
BIOLOGY,102,[BSCI] General Biology,03 Lab,02665,0,TU17.45-20.25,WEB ARR,""
BIOLOGY,102,[BSCI] General Biology,"","","","","",""
BIOLOGY,102,[BSCI] General Biology,04 Lab,02944,0,W8.10-10.50,WEB ARR,""
BIOLOGY,102,[BSCI] General Biology,"","","","","",""
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,"","","","","",""
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,01,02666,4,"TU,TH10.35-11.50",WEB ARR,Gretchen Rollwagen-Bollens
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,"","","","","",""
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,01 Lab,02668,0,TU7.45-10.25,WEB ARR,""
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,"","","","","",""
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,02 Lab,02669,0,TU12-14.40,WEB ARR,""
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,"","","","","",""
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,03 Lab,02670,0,TU14.50-17.30,WEB ARR,""
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,"","","","","",""
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,04 Lab,02671,0,TU17.45-20.25,WEB ARR,""
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,"","","","","",""
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,07 Lab,02674,0,W14.10-16.50,WEB ARR,""
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,"","","","","",""
BIOLOGY,111,[BSCI] Laboratory Experiments in Biology and Genetics,"","","","","",""
BIOLOGY,111,[BSCI] Laboratory Experiments in Biology and Genetics,01,02719,1,F9.10-11.50,WEB ARR,Gunjan Gakhar
BIOLOGY,111,[BSCI] Laboratory Experiments in Biology and Genetics,"","","","","",""
BIOLOGY,221,Exploring Health Careers,"","","","","",""
BIOLOGY,221,Exploring Health Careers,01,02967,1,TH10.35-11.25,WEB ARR,Debra Wilmington
BIOLOGY,221,Exploring Health Careers,"","","","","",""
BIOLOGY,301,General Genetics,"","","","","",""
BIOLOGY,301,General Genetics,01,02975,4,W7.45-9,WEB ARR,William Cushwa
BIOLOGY,301,General Genetics,"","","","","",""
BIOLOGY,301,General Genetics,02,02976,4,W9.10-10.25,WEB ARR,William Cushwa
BIOLOGY,301,General Genetics,"","","","","",""
BIOLOGY,321,[M] Principles of Animal Development,"","","","","",""
BIOLOGY,321,[M] Principles of Animal Development,01,13156,4,W10.35-11.50,VUB 226,Cynthia Cooper
BIOLOGY,321,[M] Principles of Animal Development,"","","","","",""
BIOLOGY,321,[M] Principles of Animal Development,01 Lab,13157,0,W13.25-16.05,VSCI 101,""
BIOLOGY,321,[M] Principles of Animal Development,"","","","","",""
BIOLOGY,354,Human Anatomy for Health Occupations,"","","","","",""
BIOLOGY,354,Human Anatomy for Health Occupations,01,02659,4,"M,W,F10.35-11.25",WEB ARR,Karin Biggs
BIOLOGY,354,Human Anatomy for Health Occupations,"","","","","",""
BIOLOGY,354,Human Anatomy for Health Occupations,01 Lab,02660,0,TU13.25-16.05,WEB ARR,""
BIOLOGY,354,Human Anatomy for Health Occupations,"","","","","",""
BIOLOGY,354,Human Anatomy for Health Occupations,02 Lab,02661,0,W7.45-10.25,WEB ARR,""
BIOLOGY,354,Human Anatomy for Health Occupations,"","","","","",""
BIOLOGY,354,Human Anatomy for Health Occupations,03 Lab,02871,0,W13.25-16.05,WEB ARR,""
BIOLOGY,354,Human Anatomy for Health Occupations,"","","","","",""
BIOLOGY,393,[M] Professional Communications in Biology,"","","","","",""
BIOLOGY,393,[M] Professional Communications in Biology,01,02675,2,"W,F12-12.50",WEB ARR,Debra Wilmington
BIOLOGY,393,[M] Professional Communications in Biology,"","","","","",""
BIOLOGY,401,[CAPS] Plants and People,"","","","","",""
BIOLOGY,401,[CAPS] Plants and People,01,13155,3,"TU,TH16.15-17.30",WEB ARR,Duncan Thomas
BIOLOGY,401,[CAPS] Plants and People,"","","","","",""
BIOLOGY,403,Evolutionary Biology,"","","","","",""
BIOLOGY,403,Evolutionary Biology,01,02954,3,"TU,TH9.10-10.25",WEB ARR,Erika Deinert
BIOLOGY,403,Evolutionary Biology,"","","","","",""
BIOLOGY,408,[CAPS] [M] Contemporary Genetics,"","","","","",""
BIOLOGY,408,[CAPS] [M] Contemporary Genetics,01,02582,3,"TU,TH12-13.15",WEB ARR,Debra Wilmington
BIOLOGY,408,[CAPS] [M] Contemporary Genetics,"","","","","",""
BIOLOGY,430,Methods of Teaching Secondary Science I,"","","","","",""
BIOLOGY,430,Methods of Teaching Secondary Science I,01,13558,3,TU17.45-20.30,WEB ARR,Charlotte Waters
BIOLOGY,430,Methods of Teaching Secondary Science I,"","","","","",""
BIOLOGY,489,[CAPS] [M] Synthesis and Communication of Independent Research,"","","","","",""
