Prefix,Course Title,Section,Class Number,Days & Times,Bldg & Room
ACCTG,230 Introduction to Financial Accounting,04,06472,"M,W,F15.10-16",TODD 120
ACCTG,231 Introduction to Managerial Accounting,01,06473,"M,W,F8.10-9",TODD 420
ACCTG,231 Introduction to Managerial Accounting,02,06474,"M,W,F10.10-11",TODD 334
ACCTG,231 Introduction to Managerial Accounting,03,09916,"M,W,F14.10-15",TODD 420
ACCTG,231 Introduction to Managerial Accounting,04,13444,"M,W,F11.10-12",WLSH 13
ACCTG,330 Intermediate Accounting I,01,06475,"TU,TH9.10-10.25",TODD 204
ACCTG,330 Intermediate Accounting I,02,06476,"TU,TH10.35-11.50",TODD 230
ACCTG,330 Intermediate Accounting I,03,08621,"TU,TH14.55-16.10",TODD 204
ACCTG,331 Intermediate Accounting II,02,09260,"TU,TH12.05-13.20",TODD 230
ACCTG,335 Taxation of Business Entities and Individuals,01,06478,"TU,TH9.10-10.25",TODD 430
ACCTG,338 Cost Accounting,01,06480,"TU,TH12.05-13.20",TODD 204
ACCTG,433 [M] Accounting Systems and Auditing,01,06482,"M,W,F13.10-14",TODD 334
ACCTG,433 [M] Accounting Systems and Auditing,02,06483,"M,W,F12.10-13",CUE 202
ACCTG,435 Individual Income Taxes,01,09577,"M,W,F9.10-10",TODD 204
ACCTG,498 Accounting Internship,01,06485,ARRGT,ARR ARR
ACCTG,499 Special Problems,01,06486,ARRGT,ARR ARR
ACCTG,596 Doctoral Topics,01,06488,ARRGT,ARR ARR
ACCTG,600 Special Projects or Independent Study,01,06489,ARRGT,ARR ARR
ACCTG,"800 Doctoral Research, Dissertation, and/or Examination",01,06491,ARRGT,ARR ARR
AERO,101 Heritage and Values I,01,05719,TU14.55-15.45,CLEV 30
AERO,101 Heritage and Values I,02,07994,TH12.05-12.55,SPRK 227
AERO,103 Leadership Laboratory I,01,05720,TH17-19,CUE 203
AERO,201 Team and Leadership Fundamentals I,01,05721,TU9.10-10,KRUG 417
AERO,201 Team and Leadership Fundamentals I,02,05722,TH14.55-15.45,KRUG 417
AERO,203 Leadership Laboratory II,01,05723,TH17-19,TODD 116
AERO,311 Leading People and Effective Communication I,01,05724,"TU,TH10.35-11.50",KRUG 417
AERO,313 Leadership Laboratory III,01,05725,TH17-19,CUE 219
AERO,"411 National Security, Leadership, and Commissioning Preparation I",01,05726,"TU,TH13.30-14.45",KRUG 417
AERO,413 Leadership Laboratory IV,01,05727,TH17-19,CUE 209
AERO,499 Special Problems,01,05728,ARRGT,ARR ARR
AFS,102 Professional Development in the Agricultural and Natural Resource Sciences,01,08579,M15.10-16,JSNH C0105
AFS,103 Field Experience in Agricultural and Food Systems,01,09209,ARRGT,ARR ARR
AFS,201 Systems Skills Development for Agricultural & Food Systems,01,12062,"M,W,F12.10-13",SPRK 335
AFS,501 Current Research in Organic and Sustainable Agriculture,02,09191,ARRGT,ARR ARR
AFS,505 Topics in Computational and Analytical Methods for Scientists,01,15559,ARRGT,ARR ARR
AFS,505 Topics in Computational and Analytical Methods for Scientists,02,15560,ARRGT,ARR ARR
AFS,505 Topics in Computational and Analytical Methods for Scientists,03,15561,ARRGT,ARR ARR
AG_ED,110 Introduction to Agricultural Education,01,08095,"TU,TH9.10-10",JSNH 272
AG_ED,407 [CAPS] Student Teaching in Agricultural Education,01,05344,ARRGT,ARR ARR
AG_ED,440 [M] Principles of Career and Technical Education,01,05345,"M,W,F8.10-9",JSNH 204
AG_ED,"450 Planning, Curriculum, and Techniques in Ag Ed",01,05346,"M,W,F12.10-13.25",WEGN G0050
AG_ED,471 Student Organizations in Agricultural Education,01,05347,"M,W,F9.10-10",JSNH 204
AG_ED,497 Internship in Agricultural Education,01,05348,ARRGT,ARR ARR
AG_ED,497 Internship in Agricultural Education,02,09543,ARRGT,ARR ARR
AG_ED,499 Special Problems,01,05349,ARRGT,ARR ARR
AGRI,562 Advanced Topics,01,08331,ARRGT,ARR ARR
AGRI,587 Research and Extension Communications in Agriculture,01,05633,ARRGT,ARR ARR
AGRI,"700 Master's Research, Thesis, and/or Examination",01,05634,ARRGT,ARR ARR
AGRI,"702 Master's Special Problems, Directed Study, and/or Examination",01,05635,ARRGT,ARR ARR
AGTM,201 Metal Fabrication,01,05699,TU12.10-13,ELB 2
AGTM,201 Metal Fabrication,01 Lab,05701,"TU,TH13.10-16",ELB 2
AGTM,305 Agricultural Precision Systems,01,05703,"M,W10.10-11",CUE 318
AGTM,305 Agricultural Precision Systems,01 Lab,05704,M14.10-17,HULB 5
AGTM,310 Small Engine Maintenance and Repair,01,05705,"M,W12.10-13",ELB 2
AGTM,310 Small Engine Maintenance and Repair,01 Lab,05706,F12.10-15,ELB 2
AGTM,310 Small Engine Maintenance and Repair,02 Lab,09478,TH8.25-11.15,ELB 2
AGTM,314 Agricultural Power Units and Mobile Electrical Systems,01,05707,"M,W11.10-12",CUE 318
AGTM,314 Agricultural Power Units and Mobile Electrical Systems,01 Lab,05708,TU14.55-17.45,LJSM 114
AGTM,315 Irrigation Systems and Water Management,01,05709,"M,W9.10-10",CUE 318
AGTM,315 Irrigation Systems and Water Management,01 Lab,05710,W14.10-17,LJSM 120
AGTM,444 Teaching Practicum,02,05712,ARRGT,ARR ARR
AGTM,451 Seminar,01,05713,TU12.05-12.55,HULB 23
AGTM,481 Independent Research,02,05715,ARRGT,ARR ARR
AGTM,495 Internship in Agricultural Technology and Management,02,07931,ARRGT,ARR ARR
AGTM,499 Special Problems,02,05718,ARRGT,ARR ARR
AIS,320 [DIVR] Native Peoples of North America,02,11908,ARRGT,ARR ARR
AIS,331 [SSCI] Archaeology of the Americas,01,11996,ARRGT,ARR ARR
AIS,401 Tribal Nation Building Leadership - Research I,01,09948,ARRGT,ARR ARR
AMDT,"105 Introductory College Seminar in Apparel, Merchandising, Design, and Textiles",01,07758,M9.10-10,JSNH C0001
AMDT,210 [PSCI] Textiles,08 Lab,16419,W16.10-19,CUE 319
AMDT,211 Apparel Assembly,01,06623,"W,F9.10-11.40",JSNH C0112
AMDT,211 Apparel Assembly,02,10007,"TU,TH13.30-16",JSNH C0112
AMDT,230 Creating Visual Advertising in Fashion,01,08478,"TU,TH10.35-11.50",JSNH C0001
AMDT,308 Visual Merchandising and Promotion,01 Lab,09232,W16.10-18,JSNH 22
AMDT,308 Visual Merchandising and Promotion,02 Lab,09983,TH12.05-14.05,JSNH 22
AMDT,310 Advanced Apparel Assembly,01,06625,W9.10-10,ARR ARR
AMDT,310 Advanced Apparel Assembly,01 Lab,06626,"W,F10.10-12.20",ARR ARR
AMDT,315 [M] Textile Product Analysis,01,08073,TU9.10-10.50,JSNH C0003
AMDT,315 [M] Textile Product Analysis,01 Lab,08074,TH9.10-10.50,VPBS 31
AMDT,409 Technical Apparel Design,01,09975,"W,F9.10-11.40",ARR ARR
AMDT,411 Advanced Apparel Design,01,06631,"TU,TH13.30-16",JSNH C0113
AMDT,490 Cooperative Education Internship,01,06634,ARRGT,ARR ARR
AMDT,495 Instructional Practicum,01,06635,ARRGT,ARR ARR
AMDT,495 Instructional Practicum,02,06636,ARRGT,ARR ARR
AMDT,495 Instructional Practicum,03,06637,ARRGT,ARR ARR
AMDT,495 Instructional Practicum,04,06638,ARRGT,ARR ARR
AMDT,495 Instructional Practicum,05,06639,ARRGT,ARR ARR
AMDT,495 Instructional Practicum,06,06640,ARRGT,ARR ARR
AMDT,495 Instructional Practicum,07,06641,ARRGT,ARR ARR
AMDT,495 Instructional Practicum,08,06642,ARRGT,ARR ARR
AMDT,495 Instructional Practicum,09,06643,ARRGT,ARR ARR
AMDT,495 Instructional Practicum,10,07744,ARRGT,ARR ARR
AMDT,496 Special Event Production,01,09458,"M,W15.10-16",JSNH C0001
AMDT,498 Special Topics,01,06644,ARRGT,ARR ARR
AMDT,498 Special Topics,02,06645,ARRGT,ARR ARR
AMDT,498 Special Topics,03,06646,ARRGT,ARR ARR
AMDT,498 Special Topics,07,06647,ARRGT,ARR ARR
AMDT,498 Special Topics,08,07622,ARRGT,ARR ARR
AMDT,498 Special Topics,09,07647,ARRGT,ARR ARR
AMDT,498 Special Topics,10,07648,ARRGT,ARR ARR
AMDT,498 Special Topics,11,07826,ARRGT,ARR ARR
AMDT,498 Special Topics,12,07850,ARRGT,ARR ARR
AMDT,499 Special Problems,01,06648,ARRGT,ARR ARR
AMDT,499 Special Problems,02,06649,ARRGT,ARR ARR
AMDT,499 Special Problems,03,06650,ARRGT,ARR ARR
AMDT,499 Special Problems,04,06651,ARRGT,ARR ARR
AMDT,499 Special Problems,05,06652,ARRGT,ARR ARR
AMDT,499 Special Problems,06,07750,ARRGT,ARR ARR
AMDT,499 Special Problems,07,08915,ARRGT,ARR ARR
AMDT,509 Technical Apparel Design,01,09976,"W,F9.10-11.40",ARR ARR
AMDT,519 Research Methods,01,06653,F14.15-16.45,JSNH C0003
