Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Instructor
ACCTG,230,Introduction to Financial Accounting,01,02849,3,ARRGT,ARR ARR,Nori Pearson
ACCTG,230,Introduction to Financial Accounting,02,02867,3,ARRGT,ARR ARR,Nori Pearson
ACCTG,230,Introduction to Financial Accounting,03,02872,3,ARRGT,ARR ARR,Nori Pearson
ACCTG,231,Introduction to Managerial Accounting,01,02815,3,ARRGT,ARR ARR,Brandon Holbrook
ACCTG,231,Introduction to Managerial Accounting,02,02835,3,ARRGT,ARR ARR,Brandon Holbrook
ACCTG,231,Introduction to Managerial Accounting,03,05358,3,ARRGT,ARR ARR,Brandon Holbrook
ACCTG,330,Intermediate Accounting I,01,02854,3,ARRGT,ARR ARR,Nori Pearson
ACCTG,330,Intermediate Accounting I,02,02861,3,ARRGT,ARR ARR,Nori Pearson
ACCTG,335,Taxation of Business Entities and Individuals,01,02822,3,ARRGT,ARR ARR,Brandon Holbrook
ACCTG,335,Taxation of Business Entities and Individuals,02,02838,3,ARRGT,ARR ARR,Brandon Holbrook
ACCTG,335,Taxation of Business Entities and Individuals,03,02841,3,ARRGT,ARR ARR,Brandon Holbrook
ACCTG,420,Accounting and Culture,01,02878,3,ARRGT,ARR ARR,Richard Alvarez
ACCTG,420,Accounting and Culture,02,02879,3,ARRGT,ARR ARR,Richard Alvarez
ACCTG,498,Accounting Internship,01,06876,V,ARRGT,ARR ARR,Susan Gill
ACCTG,550,Introduction to Financial and Managerial Accounting,01,04416,3,ARRGT,ARR ARR,Bernard Wong-On-Wing
ACCTG,550,Introduction to Financial and Managerial Accounting,02,04678,3,ARRGT,ARR ARR,Bernard Wong-On-Wing
ACCTG,550,Introduction to Financial and Managerial Accounting,03,04679,3,ARRGT,ARR ARR,Bernard Wong-On-Wing
AGRI,587,Research and Extension Communications in Agriculture,01,02585,3,ARRGT,ARR ARR,Catherine Perillo
AGRI,700,"Master's Research, Thesis, and/or Examination",01,02586,V,ARRGT,ARR ARR,(multiple)
AGRI,702,"Master's Special Problems, Directed Study, and/or Examination",01,02587,V,ARRGT,ARR ARR,(multiple)
AIS,320,[DIVR] Native Peoples of North America,01,05025,3,ARRGT,ARR ARR,John Mcnassar
AMDT,490,Cooperative Education Internship,01,02582,V,ARRGT,ARR ARR,Shanna Hiscock
AMER_ST,475,[DIVR] Digital Diversity,01,06678,3,ARRGT,ARR ARR,Rosamond Thalken
AMER_ST,475,[DIVR] Digital Diversity,02,06679,3,ARRGT,ARR ARR,Lacy Hope
ANIM_SCI,205,[BSCI] Companion Animal Nutrition,01,03047,3,ARRGT,ARR ARR,Nancy Irlbeck
ANTH,203,[DIVR] Global Cultural Diversity,01,02755,3,ARRGT,ARR ARR,Marsha Quinlan
ANTH,268,"[BSCI] Sex, Evolution, and Human Nature",01,03051,3,ARRGT,ARR ARR,Caroline Smith
ANTH,302,[SSCI] Childhood and Culture,01,03008,3,ARRGT,ARR ARR,Cynthia Heckelsmiller
ANTH,320,[DIVR] Native Peoples of North America,01,02663,3,ARRGT,ARR ARR,John Mcnassar
ANTH,350,"[DIVR] Speech, Thought, and Culture",01,03011,3,ARRGT,ARR ARR,Chancy Anderson
ANTH,404,[CAPS] The Self in Culture,01,02705,3,ARRGT,ARR ARR,Anna Jordan
ANTH,418,Human Issues in International Development,01,02588,3,ARRGT,ARR ARR,Robert Quinlan
B_A,100,Introduction to Business,01,05378,3,ARRGT,ARR ARR,Christopher Cooney
B_A,100,Introduction to Business,02,07079,3,ARRGT,ARR ARR,Christopher Cooney
B_A,102,Exploring Careers in Business,01,05377,1,ARRGT,ARR ARR,Suzanne Billington
B_A,102,Exploring Careers in Business,02,06988,1,ARRGT,ARR ARR,Suzanne Billington
B_A,500,Data Analysis for Managers,01,04444,2,ARRGT,ARR ARR,Thomas Kokta
B_A,502,Foundations in Operations Management,01,04412,2,ARRGT,ARR ARR,Jianli Hu
B_A,502,Foundations in Operations Management,02,04413,2,ARRGT,ARR ARR,Jianli Hu
B_A,502,Foundations in Operations Management,03,04672,2,ARRGT,ARR ARR,Jianli Hu
B_A,502,Foundations in Operations Management,04,04673,2,ARRGT,ARR ARR,Jianli Hu
B_A,502,Foundations in Operations Management,05,04674,2,ARRGT,ARR ARR,Jianli Hu
B_A,502,Foundations in Operations Management,06,06847,2,ARRGT,ARR ARR,Jianli Hu
B_A,502,Foundations in Operations Management,07,06848,2,ARRGT,ARR ARR,Jianli Hu
B_A,503,Foundations in Business Law,01,04414,2,ARRGT,ARR ARR,Brandon Holbrook
B_A,503,Foundations in Business Law,02,04415,2,ARRGT,ARR ARR,Brandon Holbrook
B_A,503,Foundations in Business Law,03,04675,2,ARRGT,ARR ARR,Brandon Holbrook
B_A,503,Foundations in Business Law,04,04676,2,ARRGT,ARR ARR,Brandon Holbrook
B_A,503,Foundations in Business Law,05,04677,2,ARRGT,ARR ARR,Brandon Holbrook
B_A,503,Foundations in Business Law,06,06850,2,ARRGT,ARR ARR,Brandon Holbrook
B_A,503,Foundations in Business Law,07,06851,2,ARRGT,ARR ARR,Brandon Holbrook
B_A,504,Foundations in Finance,01,04417,2,ARRGT,ARR ARR,Donna Paul
B_A,504,Foundations in Finance,02,04682,2,ARRGT,ARR ARR,Donna Paul
B_A,514,Business Analytics: Transforming Data into Decisions,01,04567,3,ARRGT,ARR ARR,Stergios Fotopoulos
B_A,514,Business Analytics: Transforming Data into Decisions,02,04568,3,ARRGT,ARR ARR,Stergios Fotopoulos
B_A,514,Business Analytics: Transforming Data into Decisions,03,04569,3,ARRGT,ARR ARR,Stergios Fotopoulos
B_A,514,Business Analytics: Transforming Data into Decisions,04,04570,3,ARRGT,ARR ARR,Stergios Fotopoulos
B_A,514,Business Analytics: Transforming Data into Decisions,05,04571,3,ARRGT,ARR ARR,Stergios Fotopoulos
B_A,514,Business Analytics: Transforming Data into Decisions,06,04572,3,ARRGT,ARR ARR,Stergios Fotopoulos
B_A,514,Business Analytics: Transforming Data into Decisions,07,04573,3,ARRGT,ARR ARR,Stergios Fotopoulos
B_A,514,Business Analytics: Transforming Data into Decisions,08,05361,3,ARRGT,ARR ARR,Stergios Fotopoulos
B_A,514,Business Analytics: Transforming Data into Decisions,09,05362,3,ARRGT,ARR ARR,Stergios Fotopoulos
B_A,514,Business Analytics: Transforming Data into Decisions,10,05363,3,ARRGT,ARR ARR,Stergios Fotopoulos
B_A,514,Business Analytics: Transforming Data into Decisions,11,05364,3,ARRGT,ARR ARR,Stergios Fotopoulos
B_A,514,Business Analytics: Transforming Data into Decisions,12,05365,3,ARRGT,ARR ARR,Stergios Fotopoulos
B_A,514,Business Analytics: Transforming Data into Decisions,13,05366,3,ARRGT,ARR ARR,Stergios Fotopoulos
B_A,514,Business Analytics: Transforming Data into Decisions,14,05367,3,ARRGT,ARR ARR,Stergios Fotopoulos
B_A,514,Business Analytics: Transforming Data into Decisions,15,05368,3,ARRGT,ARR ARR,Stergios Fotopoulos
B_A,579,MBA Capstone,01,04423,3,ARRGT,ARR ARR,Velle Kolde
B_A,579,MBA Capstone,02,04424,3,ARRGT,ARR ARR,Velle Kolde
B_A,579,MBA Capstone,03,04425,3,ARRGT,ARR ARR,Michael Jordan
B_A,579,MBA Capstone,04,04426,3,ARRGT,ARR ARR,Michael Jordan
B_A,579,MBA Capstone,05,04427,2,ARRGT,ARR ARR,""
B_A,579,MBA Capstone,06,04428,2,ARRGT,ARR ARR,Michael Jordan
B_A,579,MBA Capstone,07,04429,2,ARRGT,ARR ARR,Michael Jordan
B_A,579,MBA Capstone,10,04430,2,ARRGT,ARR ARR,""
B_A,579,MBA Capstone,11,04431,2,ARRGT,ARR ARR,Michael Jordan
B_A,599,Strategic Planning for Personal and Program Success,01,05483,1,ARRGT,ARR ARR,Richie Liu
B_A,599,Strategic Planning for Personal and Program Success,02,05484,1,ARRGT,ARR ARR,""
B_A,599,Strategic Planning for Personal and Program Success,03,05485,1,ARRGT,ARR ARR,""
B_A,599,Strategic Planning for Personal and Program Success,04,05486,1,ARRGT,ARR ARR,Debra Mundell
B_A,599,Strategic Planning for Personal and Program Success,05,05487,1,ARRGT,ARR ARR,Debra Mundell
B_A,599,Strategic Planning for Personal and Program Success,06,05488,1,ARRGT,ARR ARR,Debra Mundell
B_A,599,Strategic Planning for Personal and Program Success,12,05494,1,ARRGT,ARR ARR,Debra Mundell
B_A,599,Strategic Planning for Personal and Program Success,13,05495,1,ARRGT,ARR ARR,Debra Mundell
B_A,599,Strategic Planning for Personal and Program Success,17,05499,1,ARRGT,ARR ARR,Debra Mundell
B_A,702,"Master's Special Problems, Directed Study, and/or Examination",01,04418,2,ARRGT,ARR ARR,Michael Jordan
B_A,702,"Master's Special Problems, Directed Study, and/or Examination",02,04419,2,ARRGT,ARR ARR,Michael Jordan
B_A,702,"Master's Special Problems, Directed Study, and/or Examination",05,04687,2,ARRGT,ARR ARR,Michael Jordan
B_A,702,"Master's Special Problems, Directed Study, and/or Examination",09,04792,2,ARRGT,ARR ARR,Velle Kolde
B_A,702,"Master's Special Problems, Directed Study, and/or Examination",10,04793,2,ARRGT,ARR ARR,Velle Kolde
B_LAW,210,Law and the Legal Environment of Business,01,02816,3,ARRGT,ARR ARR,Scott Bergstedt
B_LAW,210,Law and the Legal Environment of Business,02,02834,3,ARRGT,ARR ARR,Scott Bergstedt
BIOLOGY,101,[BSCI] Biology of Humans,01,05781,3,ARRGT,ARR ARR,William Cushwa
BIOLOGY,102,[BSCI] General Biology,01,02591,4,ARRGT,ARR ARR,Angela Brown
BIOLOGY,102,[BSCI] General Biology,01 Lab,02592,0,ARRGT,ARR ARR,Angela Brown
BIOLOGY,105,General Biology Laboratory,01,02593,1,ARRGT,ARR ARR,Angela Brown
BIOLOGY,140,[BSCI] Introduction to Nutritional Science,01,02594,3,ARRGT,ARR ARR,Angela Brown
BIOLOGY,220,Medical Terminology,01,02665,2,ARRGT,ARR ARR,Nii Ankrah
BIOLOGY,301,General Genetics,01,04965,4,ARRGT,ARR ARR,Norah Mccabe
BIOLOGY,307,[DIVR] Biology of Women,01,06799,3,ARRGT,ARR ARR,Nii Ankrah
BIOLOGY,352,Cells,01,02707,3,ARRGT,ARR ARR,Nii Ankrah
BIOLOGY,372,[M] General Ecology,01,02687,4,ARRGT,ARR ARR,Kevin Turner
BIOLOGY,372,[M] General Ecology,01 Lab,02688,0,ARRGT,ARR ARR,""
BIOLOGY,405,Principles of Organic Evolution,01,02708,3,ARRGT,ARR ARR,Linda Cook
BIOLOGY,405,Principles of Organic Evolution,01 Lab,02718,0,ARRGT,ARR ARR,Linda Cook
BIOLOGY,408,[CAPS] Contemporary Genetics,01,02783,3,ARRGT,ARR ARR,Nicholas Mueth
CAS,400,End-of-Program Evaluation Portfolio,01,02702,1,ARRGT,ARR ARR,Alma Rocha
CES,101,[DIVR] Introduction to Comparative Ethnic Studies,01,03042,3,ARRGT,ARR ARR,Abigail Romero
CES,209,[HUM] Hip Hop Around the Globe,01,03028,3,ARRGT,ARR ARR,David Leonard
CES,260,[HUM] Race and Racism in US Popular Culture,01,03038,3,ARRGT,ARR ARR,Lisa Guerrero
CES,271,[HUM] Native Music of North America,01,04967,3,ARRGT,ARR ARR,Melissa Parkhurst
CES,271,[HUM] Native Music of North America,02,02887,3,ARRGT,ARR ARR,Melissa Parkhurst
CES,377,[DIVR] Native Peoples of North America,01,02664,3,ARRGT,ARR ARR,John Mcnassar
COM,101,[SSCI] Media and Society,01,02884,3,ARRGT,ARR ARR,Richard Taflinger
COM,101,[SSCI] Media and Society,02,06922,3,ARRGT,ARR ARR,Alex Kirkpatrick
COM,102,[COMM] Public Speaking in the Digital Age,01,02670,3,ARRGT,ARR ARR,Christine Curtis
COM,102,[COMM] Public Speaking in the Digital Age,02,02677,3,ARRGT,ARR ARR,Christina Steinberg
COM,102,[COMM] Public Speaking in the Digital Age,03,03040,3,ARRGT,ARR ARR,Michelle Kistler
COM,102,[COMM] Public Speaking in the Digital Age,04,02934,3,ARRGT,ARR ARR,Christine Curtis
COM,102,[COMM] Public Speaking in the Digital Age,05,02948,3,ARRGT,ARR ARR,Eronden Price
COM,102,[COMM] Public Speaking in the Digital Age,06,06823,3,ARRGT,ARR ARR,Lora Tsui
COM,105,[HUM] Communication in Global Contexts,01,06923,3,ARRGT,ARR ARR,Heena Khan
COM,138,Communication Overview,01,02905,1,ARRGT,ARR ARR,Mickinzie Johnson
COM,210,[COMM] Multimedia Content Creation,01,02596,3,ARRGT,ARR ARR,Rodney Pingel
COM,225,Sports and the Media,01,02354,3,ARRGT,ARR ARR,Benjamin Shors
COM,300,[M] Writing in Communication,01,02809,3,ARRGT,ARR ARR,Michael Mclaughlin
COM,300,[M] Writing in Communication,02,06924,3,ARRGT,ARR ARR,Michael Mclaughlin
COM,300,[M] Writing in Communication,03,06925,3,ARRGT,ARR ARR,William Loftus
COM,300,[M] Writing in Communication,04,07108,3,ARRGT,ARR ARR,William Loftus
COM,309,Quantitative Research Methods,01,02922,3,ARRGT,ARR ARR,Mina Park
COM,464,Gender and the Media,01,02652,3,ARRGT,ARR ARR,Traci Gillig
COM,475,Communication Seminar,02,03061,3,ARRGT,ARR ARR,Lawrence Pintak
COM,475,Communication Seminar,03,02717,3,ARRGT,ARR ARR,Lawrence Pintak
COM,479,Youth and the Media,01,06917,3,ARRGT,ARR ARR,Alicia Booth
COM,561,Multimedia Content Creation,01,02597,3,ARRGT,ARR ARR,Justin Barnes
COM,562,Crisis Communication in Global Contexts,01,02654,3,ARRGT,ARR ARR,Erin Tomson
COM,563,Ethics for Professionals,01,02656,3,ARRGT,ARR ARR,Bimbisar Irom
COM,564,Research Methods for Professionals,01,02655,3,ARRGT,ARR ARR,Yen-I Lee
COMHLTH,570,Health Communication and Behavior Change,01,05433,3,ARRGT,ARR ARR,Porismita Borah
COMJOUR,333,[M] Reporting Across Platforms,01,02933,3,ARRGT,ARR ARR,Wendy Raney
COMJOUR,333,[M] Reporting Across Platforms,02,02947,3,ARRGT,ARR ARR,Wendy Raney
COMSOC,321,[DIVR] Intercultural Communication,01,06926,3,ARRGT,ARR ARR,Anastasia Vishnevskaya
COMSOC,421,[CAPS] Intercultural Communication and Globalization,01,02774,3,ARRGT,ARR ARR,Bimbisar Irom
COMSTRAT,310,Digital Content Promotion,01,05443,3,ARRGT,ARR ARR,Michelle Galey
COMSTRAT,312,Principles of Public Relations,01,02921,3,ARRGT,ARR ARR,Jessica Willoughby
COMSTRAT,380,Advertising Principles and Practices,01,02584,3,ARRGT,ARR ARR,Yoon Lee
COMSTRAT,383,[M] Media Strategies and Techniques for Public Relations,01,02598,3,ARRGT,ARR ARR,Rodney Pingel
COMSTRAT,383,[M] Media Strategies and Techniques for Public Relations,02,06911,3,ARRGT,ARR ARR,Shawn Domgaard
COMSTRAT,475,Strategic Communication Seminar in Public Relations,02,05431,3,ARRGT,ARR ARR,Lisa Waananen Jones
COMSTRAT,485,[M] Public Relations Management and Campaigns,01,02750,3,ARRGT,ARR ARR,Chelsea Newman
COMSTRAT,495,Strategic Communication Professional Internship,01,02583,V,ARRGT,ARR ARR,Angela Schweigert
COMSTRAT,561,Persuasion for Professional Communicators,01,02599,3,ARRGT,ARR ARR,Porismita Borah
COMSTRAT,562,Creative Media Strategies and Techniques,01,02600,3,ARRGT,ARR ARR,Cara Hawkins-Jedlicka
COMSTRAT,563,Professional Digital Content Promotion,01,02659,3,ARRGT,ARR ARR,Brett Atwood
COMSTRAT,564,Consumer Behavior and Brand Development,01,02601,3,ARRGT,ARR ARR,Yoon Lee
COMSTRAT,565,Professional Marketing Communication Management and Campaigns,01,02602,3,ARRGT,ARR ARR,Stacey Hust
COMSTRAT,701,Master's Independent Capstone Project and /or Examination,01,02692,V,ARRGT,ARR ARR,Rebecca Cooney
CRM_J,101,[SSCI] Introduction to the Administration of Criminal Justice,01,03004,3,ARRGT,ARR ARR,Angelo Brown
CRM_J,205,[DIVR] Realizing Justice in a Multicultural Society,01,02903,3,ARRGT,ARR ARR,Taylin Kennon
CRM_J,320,Criminal Law,01,03053,3,ARRGT,ARR ARR,April Kraft-Duley
CRM_J,330,Crime Control Policies,01,05598,3,ARRGT,ARR ARR,Mary Miller
CRM_J,365,Juvenile Justice and Corrections,01,03052,3,ARRGT,ARR ARR,Mikala Meize
CRM_J,380,Criminal Courts in America,01,02909,3,ARRGT,ARR ARR,Rachael Brooks
CRM_J,403,[CAPS] Violence Toward Women,01,03046,3,ARRGT,ARR ARR,Samantha Tjaden
CRM_J,405,[M] Comparative Criminal Justice Systems,01,02929,3,ARRGT,ARR ARR,Cortney Dalton
CRM_J,450,[M] Senior Seminar: Ethical Issues in Criminal Justice,01,02928,3,ARRGT,ARR ARR,Kylee Runyan
CRM_J,490,Criminal Justice Internship,01,02603,V,ARRGT,ARR ARR,Sisouvanh Keopanapay
CROP_SCI,350,International Agricultural Extension,01,05685,3,ARRGT,ARR ARR,Caitlin Bletscher
DTC,101,[ARTS] Introduction to Digital Technology & Culture,01,02782,3,ARRGT,ARR ARR,Landon Roper
DTC,101,[ARTS] Introduction to Digital Technology & Culture,02,02946,3,ARRGT,ARR ARR,Chanelle Fournier
DTC,201,[ARTS] Tools and Methods for Digital Technology,01,02482,3,ARRGT,ARR ARR,Ruth Gregory
DTC,201,[ARTS] Tools and Methods for Digital Technology,02,01120,3,ARRGT,ARR ARR,Nazua Idris
DTC,206,[DIVR] Digital Inclusion,01,06916,3,ARRGT,ARR ARR,Chanelle Fournier
DTC,475,[DIVR] Digital Diversity,01,02196,3,ARRGT,ARR ARR,Rosamond Thalken
DTC,475,[DIVR] Digital Diversity,02,02932,3,ARRGT,ARR ARR,Lacy Hope
DTC,498,Internship,01,07131,V,ARRGT,ARR ARR,Ruth Gregory
DTC,499,Special Problems,01,07122,V,ARRGT,ARR ARR,Ruth Gregory
E_E,488,Professional Practice Coop/Internship I,01,02746,V,ARRGT,ARR ARR,Sandra Brabb
E_E,489,Introduction to Control Systems,01,07113,3,"M,TU,W,TH18.45-20","",Javier Guerrero Sedeno
E_M,401,Management of Organizations,01,04981,3,"TU,W17.15-19.45","",Alice Squires
E_M,464,Project Management,01,05608,3,"M,W17.15-19.45","",William Gray
E_M,480,Quality Control and Reliability,01,04987,3,"TU,TH18.15-20.45","",David Paulus
E_M,501,Management of Organizations,01,04982,3,"TU,W17.15-19.45","",Alice Squires
E_M,564,Project Management,01,05610,3,"M,W17.15-19.45","",William Gray
E_M,567,System Supportability and Logistics Management,01,06863,3,ARRGT,ARR ARR,William Gray
E_M,580,Quality Control and Reliability,01,04988,3,"TU,TH18.15-20.45","",David Paulus
ECONS,101,[SSCI] Fundamentals of Microeconomics,01,02604,3,ARRGT,ARR ARR,Samantha Johnson
ECONS,101,[SSCI] Fundamentals of Microeconomics,02,02880,3,ARRGT,ARR ARR,Afrin Islam
ECONS,102,[SSCI] Fundamentals of Macroeconomics,01,02605,3,ARRGT,ARR ARR,Bin Zhao
ECONS,301,Intermediate Microeconomic Theory with Calculus,01,02756,4,ARRGT,ARR ARR,Mohammad Rahman
ECONS,305,Intermediate Microeconomics without Calculus,01,02667,3,ARRGT,ARR ARR,Molla Mursaleen Shiraj
ECONS,320,Money and Banking,01,02606,3,ARRGT,ARR ARR,Grishma Manandhar
ECONS,321,Economics of Sports in America,01,02691,3,ARRGT,ARR ARR,Jugal Marfatia
ECONS,327,International Trade and Finance,01,02693,3,ARRGT,ARR ARR,Mark Gibson
ECONS,404,Economics for Managers,01,03025,3,ARRGT,ARR ARR,Golam Saroare Shakil
ENGLISH,101,[WRTG] College Composition,01,02674,3,ARRGT,ARR ARR,Chanelle Fournier
ENGLISH,101,[WRTG] College Composition,02,02722,3,ARRGT,ARR ARR,Jessie Padilla
ENGLISH,101,[WRTG] College Composition,03,02726,3,ARRGT,ARR ARR,Elijah Coleman
ENGLISH,102,Writing Tutorial,01,02778,1,ARRGT,ARR ARR,Robert Holland
ENGLISH,201,[WRTG] Writing and Research,01,02607,3,ARRGT,ARR ARR,Jessica Mccarthy
ENGLISH,301,[WRTG] Writing and Rhetorical Conventions,01,02608,3,ARRGT,ARR ARR,Vanessa Cozza
ENGLISH,302,[M] Introduction to English Studies,01,05713,3,ARRGT,ARR ARR,Kandy Robertson
ENGLISH,309,Women Writers,01,02719,3,ARRGT,ARR ARR,Heather Ramos
ENGLISH,310,"[DIVR] [M] Intersections of Race, Class, Gender, and Sexuality",01,07115,3,ARRGT,ARR ARR,Lindsey Carman
ENGLISH,373,[HUM] 20th and 21st Century Global Literatures in English,01,05714,3,ARRGT,ARR ARR,Rasina Tanvir
ENGLISH,402,[WRTG] [M] Technical and Professional Writing,01,02609,3,ARRGT,ARR ARR,Meagan Lobnitz
ENGLISH,402,[WRTG] [M] Technical and Professional Writing,02,02610,3,ARRGT,ARR ARR,Elizabeth Mcmenomy
ENGLISH,402,[WRTG] [M] Technical and Professional Writing,03,02611,3,ARRGT,ARR ARR,William Merck
ENGLISH,402,[WRTG] [M] Technical and Professional Writing,04,02612,3,ARRGT,ARR ARR,Laura Powers
ENGLISH,402,[WRTG] [M] Technical and Professional Writing,05,02657,3,ARRGT,ARR ARR,Katherine Ericsson
