Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Instructor
ACCTG,230,Introduction to Financial Accounting,01,"",3,ARRGT,ARR ARR,N Pearson
AFS,302,[M] Introduction to Agroecology,01,10950,3,ARRGT,ARR ARR,K Murphy
AFS,401,[CAPS] Advanced Systems Analysis and Design in Agricultural and Food Systems,01,11317,3,"TU,TH13.30-14.45",WEB ARR,H Henning
ANTH,316,[DIVR] Gender in Cross Cultural Perspective,01,10661,3,ARRGT,ARR ARR,C Anderson
ANTH,320,[DIVR] Native Peoples of North America,01,10751,3,ARRGT,ARR ARR,J Mcnassar
ANTH,350,"[DIVR] Speech, Thought, and Culture",01,10703,3,ARRGT,ARR ARR,C Weber
B_A,211,"Ethics, Teams, and Innovation",02,14795,3,"M,W16.20-17.35",WEB ARR,B Warnick
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis",01,14796,3,"TU,TH16.20-17.35",WEB ARR,Y He
B_LAW,210,Law and the Legal Environment of Business,01,10720,3,ARRGT,ARR ARR,S Bergstedt
COM,101,[SSCI] Media and Society,01,10662,3,ARRGT,ARR ARR,R Taflinger
COM,102,[COMM] Public Speaking in the Digital Age,01,10749,3,ARRGT,ARR ARR,C Curtis
COM,105,[HUM] Communication in Global Contexts,01,10659,3,ARRGT,ARR ARR,C Curtis
COM,138,Introduction to Communication,01,10707,3,ARRGT,ARR ARR,H Khan
COM,210,[COMM] Multimedia Content Creation,01,10663,3,ARRGT,ARR ARR,""
COM,210,[COMM] Multimedia Content Creation,02,15232,3,ARRGT,ARR ARR,""
COM,300,[M] Writing in Communication,02,11361,3,ARRGT,ARR ARR,L Paxson
COM,309,Quantitative Research Methods,01,10731,3,ARRGT,ARR ARR,W Peng
COM,400,[COMM] Communicating Science and Technology,01,10713,3,"TU,TH12.05-13.20",WEB ARR,L Paxson
COM,471,[CAPS] Stereotypes in Communication,01,10668,3,"TU,TH9-10.15",WEB ARR,R Richardson
COM,499,Special Problems,01,"",V,ARRGT,ARR ARR,L Paxson
COM,499,Special Problems,02,"",V,ARRGT,ARR ARR,L Paxson
COMJOUR,333,[M] Reporting Across Platforms,02,11291,3,ARRGT,ARR ARR,L Paxson
COMSOC,301,Foundations of Persuasion,01,10669,3,"TU,TH10.35-11.50",WEB ARR,R Richardson
COMSTRAT,310,Digital Content Promotion,01,10667,3,"TU,TH7.45-9",WEB ARR,B Atwood
