Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Instructor
ACCTG,230,Introduction to Financial Accounting,01,05284,3,"M,W,F9.10-10",CUE 203,Nori Pearson
ACCTG,230,Introduction to Financial Accounting,02,05285,3,"M,W,F13.10-14",CUE 203,Nori Pearson
ACCTG,230,Introduction to Financial Accounting,03,05286,3,"M,W,F14.10-15",FNA 5062,Nori Pearson
ACCTG,231,Introduction to Managerial Accounting,01,05287,3,"M,W,F8.10-9",TODD 430,Jonathan Lee
ACCTG,231,Introduction to Managerial Accounting,02,05288,3,"M,W,F8.10-9",TODD 230,Scott Yonce
ACCTG,231,Introduction to Managerial Accounting,03,05289,3,"M,W,F12.10-13",TODD 120,Michael Craven
ACCTG,231,Introduction to Managerial Accounting,04,24844,3,"M,W,F14.10-15",TODD 430,Zhuoli Axelton
ACCTG,231,Introduction to Managerial Accounting,05,24843,3,"M,W,F11.10-12",CUE 319,Susan Gill
ACCTG,298,Introduction to Financial and Managerial Accounting - Honors,01,24847,4,"W,F15.10-16",COLL 235,Nori Pearson
ACCTG,298,Introduction to Financial and Managerial Accounting - Honors,"","","",M15.10-17,COLL 235,""
ACCTG,330,Intermediate Accounting I,01,05290,3,"TU,TH16.15-17.30",TODD 302,Jason Porter
ACCTG,330,Intermediate Accounting I,02,05291,3,"M,W,F10.10-11",TODD 204,Marc Cussatt
ACCTG,330,Intermediate Accounting I,03,06332,3,"M,W,F9.10-10",TODD 226,Marc Cussatt
ACCTG,331,Intermediate Accounting II,01,05292,3,"TU,TH12-13.15",TODD 303,Jeffrey Gramlich
ACCTG,331,Intermediate Accounting II,02,07948,3,"TU,TH10.35-11.50",TODD 220,Jason Porter
ACCTG,335,Taxation of Business Entities and Individuals,01,05293,3,"M,W,F9.10-10",TODD 301,Richard Toolson
ACCTG,338,Cost Accounting,01,05294,3,"TU,TH13.25-14.40",TODD 411,Beau Barnes
ACCTG,338,Cost Accounting,02,06268,3,"TU,TH14.50-16.05",TODD 411,Beau Barnes
ACCTG,433,[M] Accounting Systems and Auditing,01,05295,3,"M,W,F13.10-14",TODD 220,Xinghua Gao
ACCTG,433,[M] Accounting Systems and Auditing,02,08278,3,ARRGT,ARR ARR,Xinghua Gao
ACCTG,435,Individual Income Taxes,01,05296,3,"TU,TH10.35-11.50",TODD 303,Richard Toolson
ACCTG,439,[M] Auditing,01,05297,3,"TU,TH9.10-10.25",TODD 320,Daniel Ferguson
ACCTG,439,[M] Auditing,02,05298,3,"TU,TH10.35-11.50",TODD 320,Liancheng Fu
ACCTG,498,Accounting Internship,01,05299,V,ARRGT,ARR ARR,Susan Gill
ACCTG,600,Special Projects or Independent Study,01,05301,V,ARRGT,ARR ARR,Susan Gill
ACCTG,800,"Doctoral Research, Dissertation, and/or Examination",01,05303,V,ARRGT,ARR ARR,Bernard Wong-On-Wing
AERO,102,Heritage and Values II,01,05676,1,TU12-12.50,TODD 307,Richard Rodriguez
AERO,102,Heritage and Values II,02,05677,1,TH9.10-10,CARP 101,Richard Rodriguez
AERO,103,Leadership Laboratory I,01,05678,2,TH17-19,CUE 203,Archibald Harner
AERO,202,Team and Leadership Fundamentals II,01,05679,1,TU9.10-10,KRUG 417,Brian Balazs
AERO,202,Team and Leadership Fundamentals II,02,05680,1,TH12.10-13,KRUG 417,Brian Balazs
AERO,203,Leadership Laboratory II,01,05681,2,TH17-19,CUE 203,Archibald Harner
AERO,312,Leading People and Effective Communication II,01,05682,3,"TU,TH10.35-11.50",KRUG 417,Spencer Sweat
AERO,313,Leadership Laboratory III,01,05683,2,TH17-19,CUE 203,Archibald Harner
AERO,412,"National Security, Leadership, and Commissioning Preparation II",01,05684,3,"TU,TH13.25-14.40",KRUG 417,Archibald Harner
AERO,413,Leadership Laboratory IV,01,05685,2,TH17-19,CUE 203,Archibald Harner
AERO,499,Special Problems,01,05686,V,ARRGT,ARR ARR,(multiple)
AFS,102,Professional Development in the Agricultural and Natural Resource Sciences,01,07346,1,M15.10-16,JSNH C0105,Holly Henning Yeager
AFS,302,[M] Introduction to Agroecology,01,05049,3,ARRGT,ARR ARR,Kevin Murphy
AFS,401,[CAPS] Advanced Systems Analysis and Design in Agricultural and Food Systems,01,03524,3,"TU,TH13.25-14.40",SPRK G0010,Holly Henning Yeager
AFS,445,Field Analysis of Sustainable Food Systems,01,05770,3,ARRGT,ARR ARR,Laurajean Lewis
AFS,505,Topics in Computational and Analytical Methods for Scientists,01,25006,1,"TU,TH10.35-11.50",JSNH 343,Stephen Ficklin
AFS,505,Topics in Computational and Analytical Methods for Scientists,02,25007,1,"TU,TH10.35-11.50",AMS PUL,Stephen Ficklin
AFS,505,Topics in Computational and Analytical Methods for Scientists,03,25008,1,"TU,TH10.35-11.50",AMS PUL,Stephen Ficklin
AFS,505,Topics in Computational and Analytical Methods for Scientists,04,25009,1,"TU,TH10.35-11.50",AMS PUL,Stephen Ficklin
AFS,505,Topics in Computational and Analytical Methods for Scientists,05,25010,1,"TU,TH10.35-11.50",AMS PUL,Stephen Ficklin
AFS,505,Topics in Computational and Analytical Methods for Scientists,06,25011,1,"TU,TH10.35-11.50",JSNH 343,Stephen Ficklin
AFS,505,Topics in Computational and Analytical Methods for Scientists,07,25012,1,"TU,TH10.35-11.50",AMS PUL,Stephen Ficklin
AFS,505,Topics in Computational and Analytical Methods for Scientists,08,25013,1,"TU,TH10.35-11.50",AMS PUL,Stephen Ficklin
AFS,505,Topics in Computational and Analytical Methods for Scientists,09,25014,1,"TU,TH10.35-11.50",AMS PUL,Stephen Ficklin
AFS,505,Topics in Computational and Analytical Methods for Scientists,10,25015,1,"TU,TH10.35-11.50",AMS PUL,Stephen Ficklin
AFS,505,Topics in Computational and Analytical Methods for Scientists,11,25016,1,"TU,TH10.35-11.50",JSNH 343,Stephen Ficklin
AFS,505,Topics in Computational and Analytical Methods for Scientists,12,25017,1,"TU,TH10.35-11.50",AMS PUL,Stephen Ficklin
AFS,505,Topics in Computational and Analytical Methods for Scientists,13,25018,1,"TU,TH10.35-11.50",AMS PUL,Stephen Ficklin
AFS,505,Topics in Computational and Analytical Methods for Scientists,14,25019,1,"TU,TH10.35-11.50",AMS PUL,Stephen Ficklin
AFS,505,Topics in Computational and Analytical Methods for Scientists,15,25020,1,"TU,TH10.35-11.50",AMS PUL,Stephen Ficklin
AFS,511,Statistical Methods for Graduate Researchers,01,08043,4,"TU,TH12-13.15",CLAR 149,Harry Johnson
AFS,511,Statistical Methods for Graduate Researchers,02,08351,4,"TU,TH12-13.15",AMS PUL,Harry Johnson
AFS,511,Statistical Methods for Graduate Researchers,03,08353,4,"TU,TH12-13.15",AMS PUL,Harry Johnson
AFS,511,Statistical Methods for Graduate Researchers,04,08355,4,"TU,TH12-13.15",AMS PUL,Harry Johnson
AFS,511,Statistical Methods for Graduate Researchers,05,08357,4,"TU,TH12-13.15",AMS PUL,Harry Johnson
AFS,511,Statistical Methods for Graduate Researchers,01 Lab,08281,0,W15.10-17,HULB 5,Harry Johnson
AFS,511,Statistical Methods for Graduate Researchers,02 Lab,08352,0,W15.10-17,AMS PUL,Harry Johnson
AFS,511,Statistical Methods for Graduate Researchers,03 Lab,08354,0,W15.10-17,AMS PUL,Harry Johnson
AFS,511,Statistical Methods for Graduate Researchers,04 Lab,08356,0,W15.10-17,AMS PUL,Harry Johnson
AFS,511,Statistical Methods for Graduate Researchers,05 Lab,08358,0,W15.10-17,AMS PUL,Harry Johnson
AFS,545,Field Analysis of Sustainable Food Systems,01,05771,3,ARRGT,ARR ARR,Laurajean Lewis
AG_ED,407,[CAPS] Student Teaching in Agricultural Education,01,03104,V,ARRGT,ARR ARR,""
AG_ED,430,Reinforcing Core Academics in Agricultural Education,01,25021,4,"M,W12.10-13",VPBS 43,""
AG_ED,430,Reinforcing Core Academics in Agricultural Education,01 Lab,25022,0,"M,W13.10-16",VPBS 43,""
AG_ED,497,Internship in Agricultural Education,01,03105,V,ARRGT,ARR ARR,John Baser
AG_ED,497,Internship in Agricultural Education,02,24784,V,ARRGT,ARR ARR,Anna Warner
AG_ED,499,Special Problems,01,03106,V,ARRGT,ARR ARR,John Baser
AG_ED,499,Special Problems,02,24785,V,ARRGT,ARR ARR,Anna Warner
AGRI,700,"Master's Research, Thesis, and/or Examination",01,05106,V,ARRGT,ARR ARR,(multiple)
AGRI,700,"Master's Research, Thesis, and/or Examination",02,07435,V,ARRGT,ARR ARR,(multiple)
AGRI,702,"Master's Special Problems, Directed Study, and/or Examination",01,05107,V,ARRGT,ARR ARR,(multiple)
AGRI,702,"Master's Special Problems, Directed Study, and/or Examination",02,07436,V,ARRGT,ARR ARR,(multiple)
AGTM,201,Metal Fabrication,01,03150,3,TU12.10-13,ELB 2,John Baser
AGTM,201,Metal Fabrication,01 Lab,03152,0,"TU,TH13.10-16",ELB 59,John Baser
AGTM,330,Electrical Power Systems for Agriculture,01,03315,3,"M,W10.10-11",CUE 209,James Durfey
AGTM,330,Electrical Power Systems for Agriculture,01 Lab,03316,0,W14.10-17,LJSM 120,James Durfey
AGTM,402,"Methods, Materials, and Machines for Teaching Ag Mechanics",01,03322,3,"M,W,F8.10-9",ELB 2A,John Baser
AGTM,405,Advanced Agricultural Precision Systems,01,03317,2,"M,W9.10-10",CUE 209,James Durfey
AGTM,405,Advanced Agricultural Precision Systems,01 Lab,03318,0,M14.10-17,HULB 5,James Durfey
AGTM,412,Human and Machinery Risk Management,01,03319,3,"TU,TH12-13.15",CUE 219,James Durfey
AGTM,416,Fluid Power Systems,01,03320,3,"M,W11.10-12",CUE 209,James Durfey
AGTM,416,Fluid Power Systems,01 Lab,03321,0,TU14.50-17.40,LJSM 120,James Durfey
AGTM,444,Teaching Practicum,01,03323,1,ARRGT,ARR ARR,John Baser
AGTM,444,Teaching Practicum,02,03324,1,ARRGT,ARR ARR,James Durfey
AGTM,481,Independent Research,01,03325,V,ARRGT,ARR ARR,John Baser
AGTM,481,Independent Research,02,03326,V,ARRGT,ARR ARR,James Durfey
AGTM,495,Internship in Agricultural Technology and Management,01,03327,V,ARRGT,ARR ARR,John Baser
AGTM,495,Internship in Agricultural Technology and Management,02,06476,V,ARRGT,ARR ARR,James Durfey
AGTM,499,Special Problems,01,03328,V,ARRGT,ARR ARR,John Baser
AGTM,499,Special Problems,02,03329,V,ARRGT,ARR ARR,James Durfey
AIS,320,[DIVR] Native Peoples of North America,01,29361,3,ARRGT,ARR ARR,John Mcnassar
AIS,327,[DIVR] Contemporary Native Peoples of the Americas,01,29362,3,ARRGT,ARR ARR,John Mcnassar
AIS,401,Tribal Nation Building Leadership - Research I,01,08393,2,ARRGT,ARR ARR,Kenneth Lokensgard
AIS,402,Tribal Nation Building Leadership - Research II,01,30389,2,M11.30-13,CLEV 27A,Kenneth Lokensgard
AMDT,210,[PSCI] Textiles,01,05795,4,"TU,TH13.25-14.40",JSNH C0001,Hang Liu
AMDT,210,[PSCI] Textiles,01 Lab,05796,0,TU15-17.50,VPBS 31,Hang Liu
AMDT,210,[PSCI] Textiles,02 Lab,05797,0,W13.10-16,VPBS 31,Hang Liu
AMDT,210,[PSCI] Textiles,03 Lab,06173,0,W16.10-19,VPBS 31,Hang Liu
AMDT,210,[PSCI] Textiles,04 Lab,29103,0,F10.10-13,VPBS 31,Hang Liu
AMDT,211,Apparel Assembly,01,04659,3,"W,F13.10-15.40",JSNH C0112,Manal Shaheen
AMDT,211,Apparel Assembly,02,29104,3,"TU,TH13.25-15.55",JSNH C0112,Lindsay Mccoy
AMDT,211,Apparel Assembly,03,30404,3,ARRGT,ARR ARR,Vicki Mccracken
AMDT,212,Apparel Product Development,01,04660,3,"TU,TH9.10-10.25",JSNH C0001,Armine Ghalachyan
AMDT,221,Historic Costume II,01,04665,3,"TU,TH12-13.15",JSNH C0001,Manal Shaheen
AMDT,250,Principles of Merchandising,01,07334,3,"M,W,F14.10-15",JSNH C0001,Patrick Brown-Hayes
AMDT,268,Communicating Creative Concepts in Fashion,01,06820,3,"TU,TH16.15-19.05",JSNH C0001,Patrick Brown-Hayes
AMDT,307,Consumer Behavior in Fashion,01,04661,3,"TU,TH14.50-16.05",JSNH C0001,Jihyeong Son
AMDT,311,Apparel Flat Patterning and Design,01,06266,3,"M,W10.10-12.40",JSNH C0112,Armine Ghalachyan
AMDT,312,"Apparel Draping, Fitting, and Design",01,04662,3,"W,F9.10-11.40",JSNH C0113,Manal Shaheen
AMDT,408,[ARTS] Visual Analysis and Aesthetics,01,05865,3,"M,W,F12.10-13",JSNH C0001,Patrick Brown-Hayes
AMDT,412,Apparel Design Collection,01,04663,3,"TU,TH13.25-15.55",JSNH C0113,Chan Mi Hwang
AMDT,413,[CAPS] Global Sourcing,01,04664,3,"M,W,F13.10-14",JSNH C0001,Yini Chen
