Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Instructor
BIOMED,550,Biochemistry for the Health Sciences,01,15034,3,"M,W8.10-9.25",WEB ARR,Ted Chauvin
COMHLTH,571,Communicating Health in Practice,01,14821,3,ARRGT,ARR ARR,Jessica Willoughby
COMHLTH,572,Communicating Health to Specialized Populations,01,15171,3,ARRGT,ARR ARR,Chelsea Newman
E_M,560,Integrated Supply Chain Management,01,14434,3,TH17.15-19.45,WEB ARR,Kay Bachman
E_M,566,Systems Analysis and Practice,01,14886,3,TU17.15-19.45,WEB ARR,Alice Squires
ED_AD,501,Philosophy of Education,01,14687,3,W17.45-20.30,SAC 341,Susan Finley
ED_AD,507,Social Foundations of Education,01,14688,3,ARRGT,ARR ARR,John Lupinacci
ED_AD,510,Improvement of Instruction,01,16043,3,TH17.45-20.30,WEB ARR,John Lupinacci
ED_AD,512,Leadership Studies for Social Justice,01,14689,3,TU17.45-20.30,SAC 341,Katherine Rodela
ED_AD,516,Instructional and Curricular Leadership,01,14442,V,ARRGT,ARR ARR,Richard Mcbride
ED_AD,521,Topics in Education,02,14691,V,ARRGT,ARR ARR,Glenys Hill
ED_AD,521,Topics in Education,03,14692,V,ARRGT,ARR ARR,Glenys Hill
ED_AD,580,School Organization and Administration,01,14693,3,TU17.45-20.30,SAC 347,Jeffrey Walls
ED_AD,581,Politics in Education,01,14695,3,ARRGT,ARR ARR,Glenys Hill
ED_AD,587,Seminar in School Administration,01,14696,V,ARRGT,ARR ARR,Glenys Hill
ED_AD,589,Leadership Development Seminar,01,14443,3,W17.45-20.30,AMS ARR,Jeffrey Walls
ED_AD,590,Internship,01,14730,V,ARRGT,ARR ARR,Glenys Hill
ED_AD,590,Internship,02,14731,V,ARRGT,ARR ARR,Glenys Hill
ED_AD,590,Internship,03,14732,V,ARRGT,ARR ARR,Richard Mcbride
ED_AD,600,Special Projects or Independent Study,01,14728,V,ARRGT,ARR ARR,Glenys Hill
ED_AD,600,Special Projects or Independent Study,02,14729,V,ARRGT,ARR ARR,Glenys Hill
ED_AD,702,"Master's Special Problems, Directed Study, and/or Examination",01,14727,V,ARRGT,ARR ARR,Sharon Kruse
ED_MTHSC,598,Research Seminar in Mathematics and Science Education,01,14736,1,W16.30-17.30,SAC 205,Andy Cavagnetto
ED_MTHSC,800,"Doctoral Research, Dissertation, and/or Examination",01,15659,V,ARRGT,ARR ARR,(multiple)
ED_PSYCH,505,Research Methods I,01,14733,3,M17.45-20.30,SAC 347,Hsin-Ya Liao
ED_PSYCH,508,Educational Statistics,01,14735,3,TU17.45-20.30,SAC 343,Bruce Austin
ED_PSYCH,521,Topics in Educational Psychology,01,14177,V,W17.45-20.30,SAC 205,Kira Carbonneau
ED_PSYCH,571,Theoretical Foundations and Fundamental Issues in Program Evaluation,01,14762,3,W9.10-12,SAC 205,Olusola Adesope
ED_RES,562,"Epistemology, Inquiry, and Representation",01,14737,3,TU17.45-20.30,SAC 205,Anthony Rud
ED_RES,563,Principles of Research,01,14738,3,M17.45-20.30,SAC 341,Shannon Calderone
ED_RES,564,Qualitative Research,01,14739,3,TU16.10-19,SAC 41,""
ED_RES,565,Quantitative Research,01,14740,3,TU17.45-20.30,SAC 43,Shenghai Dai
ED_RES,571,Doctoral Dissertation Preparation,01,14741,3,M17.45-20.30,SAC 343,Susan Finley
ED_RES,571,Doctoral Dissertation Preparation,02,14742,3,W17.45-20.30,SAC 343,Kristin Huggins
H_D,205,[COMM] Developing Effective Communication and Life Skills,02,14836,4,ARRGT,ARR ARR,Miranda Strey
H_D,205,[COMM] Developing Effective Communication and Life Skills,02 Lab,14837,0,ARRGT,ARR ARR,Miranda Strey
H_D,558,Parent-Child Relationships,01,12092,3,W15.10-17.40,SAC 345,Matthew Bumpus
H_D,586,Special Topics in Human Development,01,17463,V,W14.10-15,AMS ARR,Robert Cooper
HISTORY,305,[ROOT] Roots of Contemporary Issues For Transfer Students,01,14215,3,ARRGT,ARR ARR,Jennifer Binczewski
HISTORY,308,"[DIVR] North American Indian History, Precontact to Present",01,14845,3,ARRGT,ARR ARR,Robert Mccoy
LLT,586,"Seminar in Language, Literacy, and Technology",01,14540,1,TU12.10-13,AMS ARR,Jane Kelley
MBIOS,578,Bioinformatics,01,14866,3,ARRGT,ARR ARR,John Wyrick
MBIOS,578,Bioinformatics,01 Lab,14867,0,ARRGT,ARR ARR,John Wyrick
MBIOS,800,"Doctoral Research, Dissertation, and/or Examination",01,14079,V,ARRGT,ARR ARR,Jennifer Watts
MED_CLIN,522,Longitudinal Integrated Clerkship II,01,15564,14,ARRGT,ARR ARR,Jaime Bowman
MED_CLIN,531,Sub Internship in Family Medicine,01,15038,4,ARRGT,ARR ARR,Jeffrey Haney
MED_CLIN,531,Sub Internship in Family Medicine,02,15039,4,ARRGT,ARR ARR,Jeffrey Haney
MED_CLIN,531,Sub Internship in Family Medicine,03,15040,4,ARRGT,ARR ARR,Jeffrey Haney
MED_CLIN,532,Sub Internship in Inpatient Internal Medicine,01,15050,4,ARRGT,ARR ARR,Lonika Sood
MED_CLIN,532,Sub Internship in Inpatient Internal Medicine,02,15051,4,ARRGT,ARR ARR,Lonika Sood
MED_CLIN,532,Sub Internship in Inpatient Internal Medicine,03,15052,4,ARRGT,ARR ARR,Lonika Sood
MED_CLIN,533,Sub Internship in General Surgery,01,15111,4,ARRGT,ARR ARR,Anjali Kumar
MED_CLIN,533,Sub Internship in General Surgery,02,15112,4,ARRGT,ARR ARR,Anjali Kumar
MED_CLIN,533,Sub Internship in General Surgery,03,15113,4,ARRGT,ARR ARR,Anjali Kumar
MED_CLIN,534,Sub Internship in Pediatrics,01,15123,4,ARRGT,ARR ARR,Charles Anderson
MED_CLIN,534,Sub Internship in Pediatrics,02,15124,4,ARRGT,ARR ARR,Charles Anderson
MED_CLIN,534,Sub Internship in Pediatrics,03,15125,4,ARRGT,ARR ARR,Charles Anderson
MED_CLIN,535,Sub Internship in Psychiatry,01,15135,4,ARRGT,ARR ARR,Matthew Layton
MED_CLIN,535,Sub Internship in Psychiatry,02,15136,4,ARRGT,ARR ARR,Matthew Layton
MED_CLIN,535,Sub Internship in Psychiatry,03,15137,4,ARRGT,ARR ARR,Matthew Layton
MED_CLIN,536,Sub Internship in Obstetrics and Gynecology,01,15164,4,ARRGT,ARR ARR,Harold Andersen
MED_CLIN,536,Sub Internship in Obstetrics and Gynecology,02,15165,4,ARRGT,ARR ARR,Harold Andersen
MED_CLIN,536,Sub Internship in Obstetrics and Gynecology,03,15166,4,ARRGT,ARR ARR,Harold Andersen
MED_CLIN,537,Clinical Rotation in Emergency Medicine,01,15181,4,ARRGT,ARR ARR,Carlton Heine
MED_CLIN,537,Clinical Rotation in Emergency Medicine,02,15182,4,ARRGT,ARR ARR,Carlton Heine
MED_CLIN,537,Clinical Rotation in Emergency Medicine,03,15183,4,ARRGT,ARR ARR,Carlton Heine
MED_CLIN,538,Clinical Rotation in Rural Medicine,01,15195,4,ARRGT,ARR ARR,Jeffrey Haney
MED_CLIN,538,Clinical Rotation in Rural Medicine,02,15196,4,ARRGT,ARR ARR,Jeffrey Haney
MED_CLIN,538,Clinical Rotation in Rural Medicine,03,15197,4,ARRGT,ARR ARR,Jeffrey Haney
MED_CLIN,539,Clinical Rotation in Underserved Medicine,01,15207,4,ARRGT,ARR ARR,Jeffrey Haney
MED_CLIN,539,Clinical Rotation in Underserved Medicine,02,15208,4,ARRGT,ARR ARR,Jeffrey Haney
MED_CLIN,539,Clinical Rotation in Underserved Medicine,03,15209,4,ARRGT,ARR ARR,Jeffrey Haney
MED_CLIN,541,Clinical Rotation in Imaging/Radiology,01,15219,V,ARRGT,ARR ARR,Lonika Sood
MED_CLIN,541,Clinical Rotation in Imaging/Radiology,02,15220,V,ARRGT,ARR ARR,Lonika Sood
MED_CLIN,541,Clinical Rotation in Imaging/Radiology,03,15221,V,ARRGT,ARR ARR,Lonika Sood
MED_CLIN,541,Clinical Rotation in Imaging/Radiology,04,15749,V,ARRGT,ARR ARR,Lonika Sood
MED_CLIN,541,Clinical Rotation in Imaging/Radiology,05,15933,V,ARRGT,ARR ARR,Lonika Sood
MED_CLIN,541,Clinical Rotation in Imaging/Radiology,06,15935,V,ARRGT,ARR ARR,Lonika Sood
MED_CLIN,541,Clinical Rotation in Imaging/Radiology,07,15936,V,ARRGT,ARR ARR,Lonika Sood
MED_CLIN,541,Clinical Rotation in Imaging/Radiology,08,15937,V,ARRGT,ARR ARR,Lonika Sood
MED_CLIN,541,Clinical Rotation in Imaging/Radiology,09,15938,V,ARRGT,ARR ARR,Lonika Sood
MED_CLIN,541,Clinical Rotation in Imaging/Radiology,10,15939,V,ARRGT,ARR ARR,Lonika Sood
MED_CLIN,542,Clinical Rotation in Dermatology,01,15231,V,ARRGT,ARR ARR,Carlton Heine
MED_CLIN,542,Clinical Rotation in Dermatology,02,15232,V,ARRGT,ARR ARR,Carlton Heine
MED_CLIN,542,Clinical Rotation in Dermatology,03,15233,V,ARRGT,ARR ARR,Carlton Heine
MED_CLIN,542,Clinical Rotation in Dermatology,04,15776,V,ARRGT,ARR ARR,Carlton Heine
