Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Instructor
ACCTG,498,Accounting Internship,01,07135,V,ARRGT,ARR ARR,Li Xu
ANTH,101,[DIVR] Introduction to Anthropology,01,05415,3,M11-14.20,ARR ARR,Nicole Hess
ANTH,307,[DIVR] Contemporary Cultures and Peoples of Africa,01,05422,3,ARRGT,ARR ARR,Bonnie Hewlett
ANTH,309,[SSCI] Cultural Ecology,01,05417,3,ARRGT,ARR ARR,Barry Hewlett
ANTH,381,[BSCI] Primate Behavioral Ecology,01,05421,3,ARRGT,ARR ARR,Nicole Hess
ASTRONOM,135,[PSCI] Astronomy,01,05429,4,"M,W9.55-12.10",ARR ARR,Jose Vazquez-Bello
ASTRONOM,135,[PSCI] Astronomy,01 Lab,05430,0,TU19-21.20,ARR ARR,""
BIOLOGY,140,[BSCI] Introduction to Nutritional Science,01,05436,3,M14.30-17.50,ARR ARR,Patricia Sayer
BIOLOGY,301,General Genetics,01,05558,4,ARRGT,ARR ARR,William Cushwa
BIOLOGY,372,[M] General Ecology,01,05560,4,M11-13.30,ARR ARR,Michelle Steen-Adams
BIOLOGY,372,[M] General Ecology,01 Lab,05561,0,W11-12.30,ARR ARR,""
BIOLOGY,393,[M] Professional Communications in Biology,01,05437,2,"M,W11-13.15",ARR ARR,Debra Wilmington
BIOLOGY,403,Evolutionary Biology,01,05624,3,ARRGT,ARR ARR,Erika Deinert
BIOLOGY,408,[CAPS] Contemporary Genetics,01,05438,3,"TU,TH13-14.20",ARR ARR,Debra Wilmington
BIOLOGY,499,Special Problems,01,05432,V,ARRGT,ARR ARR,""
BIOLOGY,500,Seminar,01,07096,1,ARRGT,ARR ARR,Jonah Piovia-Scott
BIOLOGY,700,"Master's Research, Thesis, and/or Examination",01,07095,V,ARRGT,ARR ARR,Jonah Piovia-Scott
CES,373,[M] Native American Literature,02,06875,3,"M,W11-14.20",ARR ARR,Desiree Hellegers
CHEM,106,Principles of Chemistry II,01,05439,4,"M,W12.50-15.20",ARR ARR,Edward Valente
CHEM,106,Principles of Chemistry II,01 Lab,05440,0,TU12.50-17.50,ARR ARR,""
CHEM,345,Organic Chemistry I,01,05441,4,"TU,TH,F11-12.35",ARR ARR,Adenike Otoikhian
CHEM,345,Organic Chemistry I,01 Lab,05442,0,TH13.30-18.30,ARR ARR,""
COM,101,[SSCI] Media and Society,01,05398,3,ARRGT,ARR ARR,Michael Levan
