Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Instructor
ACCTG,230,Introduction to Financial Accounting,01,11482,3,"M,W17.45-19",WEB ARR,Leslie Clute
ACCTG,231,Introduction to Managerial Accounting,01,11454,3,"M,W12.05-13.20",WEB ARR,Leslie Clute
ACCTG,231,Introduction to Managerial Accounting,02,11494,3,"M,W13.30-14.45",WEB ARR,Leslie Clute
ACCTG,330,Intermediate Accounting I,01,11455,3,TU18-20.45,WEB ARR,Claire Latham
ACCTG,331,Intermediate Accounting II,01,11456,3,"TU,TH14.55-16.10",WEB ARR,Li Xu
ACCTG,338,Cost Accounting,01,11457,3,"TU,TH13.30-14.45",WEB ARR,Li Xu
ACCTG,435,Individual Income Taxes,01,12753,3,TU18-20.45,WEB ARR,""
ACCTG,439,[M] Auditing,01,11489,3,"TU,TH16.20-17.35",WEB ARR,Claire Latham
ANTH,101,[DIVR] Introduction to Anthropology,01,11761,3,ARRGT,ARR ARR,Jason Fancher
ANTH,201,[HUM] Art and Society,01,14710,3,ARRGT,ARR ARR,Kanupriya Dhawan
ANTH,203,[DIVR] Global Cultural Diversity,01,11781,3,ARRGT,ARR ARR,Clare Weber
ANTH,205,"[SSCI] Health, Healing, and Medicine Across Cultures",01,11870,3,ARRGT,ARR ARR,Bonnie Hewlett
ANTH,230,Archaeological Methods and Interpretation,01,11706,3,"TU,TH10.35-11.50",WEB ARR,Colin Grier
ANTH,260,[BSCI] Introduction to Biological Anthropology,01,11718,4,"TU,TH9.10-10.25",WEB ARR,Edward Hagen
ANTH,260,[BSCI] Introduction to Biological Anthropology,01 Lab,11719,0,TU14.55-17.35,WEB ARR,""
ANTH,260,[BSCI] Introduction to Biological Anthropology,02 Lab,11720,0,TH14.55-17.35,WEB ARR,""
ANTH,302,[SSCI] Childhood and Culture,02,14708,3,ARRGT,ARR ARR,Barry Hewlett
ANTH,304,[SSCI] Cross-Cultural Perspectives of Mental Health and Illness,01,11817,3,ARRGT,ARR ARR,Bonnie Hewlett
ANTH,350,"[DIVR] Speech, Thought, and Culture",02,14912,3,ARRGT,ARR ARR,Clare Weber
ANTH,381,[BSCI] Primate Behavioral Ecology,01,11864,3,ARRGT,ARR ARR,Nicole Hess
ANTH,490,[CAPS] [M] Integrative Themes in Anthropology,02,14709,3,"TU,TH13.30-14.45",WEB ARR,Colin Grier
ANTH,562,Evolutionary Method and Theory in Anthropology and Archaeology,01,11826,3,W9.40-11.40,WEB ARR,Edward Hagen
ANTH,800,"Doctoral Research, Dissertation, and/or Examination",01,11709,V,ARRGT,ARR ARR,""
ASTRONOM,135,[PSCI] Astronomy,01,11632,4,"M,W17.45-19",WEB ARR,Jose Vazquez-Bello
ASTRONOM,135,[PSCI] Astronomy,01 Lab,11633,0,M19.15-20.55,WEB ARR,""
ASTRONOM,135,[PSCI] Astronomy,02 Lab,11634,0,W19.15-20.55,WEB ARR,""
B_A,100,Introduction to Business,01,12281,3,"TU,TH16.20-17.35",WEB ARR,Richard Howell
B_A,102,Exploring Careers in Business,01,12280,1,"W,F12.05-13.20",WEB ARR,Rachel Worthy
B_A,102,Exploring Careers in Business,02,12437,1,"W,F12.05-13.20",WEB ARR,Rachel Worthy
B_A,211,"Ethics, Teams, and Innovation",02,14792,3,"M,W16.20-17.35",WEB ARR,Benjamin Warnick
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis",01,14667,3,"TU,TH16.20-17.35",WEB ARR,Yijun He
B_LAW,210,Law and the Legal Environment of Business,01,11458,3,"M,W14.55-16.10",WEB ARR,Brandon Holbrook
BIOLOGY,101,[BSCI] Biology of Humans,02,12657,3,ARRGT,"",William Cushwa
BIOLOGY,107,[BSCI] Introductory Biology: Cell Biology and Genetics,01,12066,4,"TU,TH9.10-10.25",WEB ARR,Michael Berger
BIOLOGY,107,[BSCI] Introductory Biology: Cell Biology and Genetics,01 Lab,12068,0,TU10.35-13.15,WEB ARR,""
BIOLOGY,107,[BSCI] Introductory Biology: Cell Biology and Genetics,02 Lab,12069,0,TU13.30-16.10,WEB ARR,""
BIOLOGY,107,[BSCI] Introductory Biology: Cell Biology and Genetics,03 Lab,12070,0,TU17.45-20.25,WEB ARR,""
BIOLOGY,107,[BSCI] Introductory Biology: Cell Biology and Genetics,04 Lab,12071,0,W7.45-10.25,WEB ARR,""
BIOLOGY,107,[BSCI] Introductory Biology: Cell Biology and Genetics,05 Lab,12072,0,W13.30-16.10,WEB ARR,""
BIOLOGY,111,[BSCI] Laboratory Experiments in Biology and Genetics,01,11737,1,F9.10-11.50,WEB ARR,Gunjan Gakhar
BIOLOGY,140,[BSCI] Introduction to Nutritional Science,01,11729,3,"W,F9.10-10.25",WEB ARR,""
BIOLOGY,210,Your Future in Life Sciences,01,11802,2,"W,F12.05-12.55",WEB ARR,Dale Fortin
BIOLOGY,353,Advanced Human Physiology,01,11738,4,"W,F10.35-11.50",WEB ARR,Debra Wilmington
BIOLOGY,353,Advanced Human Physiology,01 Lab,11739,0,M13.30-16.10,WEB ARR,""
BIOLOGY,353,Advanced Human Physiology,02 Lab,11740,0,M16.20-19,WEB ARR,""
BIOLOGY,353,Advanced Human Physiology,03 Lab,11741,0,TU10.35-13.15,WEB ARR,""
BIOLOGY,372,[M] General Ecology,01,11757,4,"TU,TH10.35-11.50",WEB ARR,Jonah Piovia-Scott
BIOLOGY,372,[M] General Ecology,01 Lab,11758,0,TH7.45-10.25,WEB ARR,""
BIOLOGY,372,[M] General Ecology,02 Lab,11759,0,TH12.05-14.45,WEB ARR,""
BIOLOGY,372,[M] General Ecology,03 Lab,11803,0,TH14.55-17.35,WEB ARR,""
BIOLOGY,372,[M] General Ecology,04 Lab,11804,0,F9.10-11.50,WEB ARR,""
BIOLOGY,393,[M] Professional Communications in Biology,02,14718,2,"W,F13.30-14.20",WEB ARR,""
BIOLOGY,402,[M] Beneficial Microbes in Nature and Society,01,11879,3,"M,W9.10-10.25",WEB ARR,Stephanie Porter
BIOLOGY,462,Community Ecology,01,14742,3,"TU,TH13.30-14.45",WEB ARR,Jonah Piovia-Scott
BIOLOGY,476,Epigenetics and Systems Biology,02,15326,3,"TU,TH10.35-11.50",WEB ARR,Michael Skinner
BIOLOGY,485,[CAPS] Biology of the Oceans,01,11880,3,"TU,TH14.55-16.10",WEB ARR,Gretchen Rollwagen-Bollens
BIOLOGY,497,Instructional Practicum,01,11752,V,ARRGT,ARR ARR,""
BIOLOGY,499,Special Problems,01,11724,V,ARRGT,ARR ARR,""
BIOLOGY,500,Seminar,01,12501,1,ARRGT,ARR ARR,""
BIOLOGY,500,Seminar,02,12502,1,ARRGT,ARR ARR,""
BIOLOGY,501,Proposal Defense Seminar,01,12503,2,ARRGT,ARR ARR,""
BIOLOGY,521,Quantitative Genetics,01,11896,3,"TU,TH13.30-14.45",WEB ARR,Patrick Carter
BIOLOGY,561,Environmental Physiology,01,15302,3,"TU,TH9.10-10.25",WEB ARR,William Dowd
BIOLOGY,562,Community Ecology,01,14743,3,"TU,TH13.30-14.45",WEB ARR,Jonah Piovia-Scott
BIOLOGY,576,Epigenetics and Systems Biology,02,15327,3,"TU,TH10.35-11.50",WEB ARR,Michael Skinner
BIOLOGY,582,Professional Communication in Biology - Grant Writing,01,11785,2,M10.30-12.30,WEB ARR,Asaph Cousins
BIOLOGY,700,"Master's Research, Thesis, and/or Examination",01,11722,V,ARRGT,ARR ARR,(multiple)
BIOLOGY,800,"Doctoral Research, Dissertation, and/or Examination",01,11723,V,ARRGT,ARR ARR,(multiple)
CES,209,[HUM] Hip Hop Around the Globe,02,14810,3,"M,W9.10-10",WEB ARR,""
CES,220,[HUM] Introduction to Multicultural Literature,01,14887,3,"M,W14.55-16.10",WEB ARR,Rasina Tanvir
CES,373,[M] Native American Literature,01,14891,3,TU17.45-20.30,WEB ARR,Julian Ankney
CHEM,105,[PSCI] Principles of Chemistry I,01,11819,4,"TU,TH13.30-14.45",WEB ARR,""
CHEM,105,[PSCI] Principles of Chemistry I,01 Lab,11820,0,TU14.55-17.35,WEB ARR,""
CHEM,105,[PSCI] Principles of Chemistry I,02 Lab,11930,0,TU17.45-20.25,WEB ARR,""
CHEM,106,Principles of Chemistry II,01,11635,4,"M,W,F10.35-11.25",WEB ARR,Adenike Otoikhian
CHEM,106,Principles of Chemistry II,02,11636,4,"M,W,F13.30-14.20",WEB ARR,Adenike Otoikhian
CHEM,106,Principles of Chemistry II,01 Lab,11637,0,W14.55-17.35,WEB ARR,""
CHEM,106,Principles of Chemistry II,02 Lab,11638,0,TH10.35-13.15,WEB ARR,""
CHEM,106,Principles of Chemistry II,03 Lab,11639,0,TH13.30-16.10,WEB ARR,""
CHEM,106,Principles of Chemistry II,04 Lab,11640,0,TH17.45-20.25,WEB ARR,""
CHEM,106,Principles of Chemistry II,05 Lab,11641,0,F7.45-10.25,WEB ARR,""
CHEM,106,Principles of Chemistry II,06 Lab,11642,0,F12.05-14.45,WEB ARR,""
CHEM,191,Independent Study in Modern Chemistry,01,11779,1,TH16.20-17.10,WEB ARR,""
CHEM,348,Organic Chemistry II and Problem Solving,01,11685,4,"TU,TH12.05-13.20",WEB ARR,Adenike Otoikhian
CHEM,348,Organic Chemistry II and Problem Solving,01 Lab,11686,0,TU14.55-16.35,WEB ARR,""
CHEM,348,Organic Chemistry II and Problem Solving,02 Lab,11687,0,TU17.45-19.25,WEB ARR,""
CHINESE,121,[HUM] Modern Chinese Culture,01,11787,3,"TU,TH13.30-14.45",WEB ARR,Weilu Zheng
COM,101,[SSCI] Media and Society,02,14729,3,"M,W10.35-11.50",WEB ARR,""
COM,102,[COMM] Public Speaking in the Digital Age,01,12041,3,"M,W9.10-10.25",WEB ARR,Elizabeth Candello
COM,102,[COMM] Public Speaking in the Digital Age,02,12042,3,"TU,TH9.10-10.25",WEB ARR,James Simmons
